date,GEL_Open,GEL_High,GEL_Low,GEL_Close,GEL_Volume,GEL_Dividends,GEL_Stock Splits
1996-11-27 00:00:00+00:00,20.625,20.875,20.625,2.2110044956207275,423600,0.0,
1996-11-29 00:00:00+00:00,20.75,20.875,20.75,2.2243247032165527,40700,0.0,
1996-12-02 00:00:00+00:00,20.875,20.875,20.75,2.2243247032165527,67700,0.0,
1996-12-03 00:00:00+00:00,20.875,21.125,20.75,2.2509632110595703,69500,0.0,
1996-12-04 00:00:00+00:00,21.125,21.125,20.75,2.2243247032165527,151100,0.0,
1996-12-05 00:00:00+00:00,20.875,21.0,20.75,2.2110044956207275,66900,0.0,
1996-12-06 00:00:00+00:00,20.75,20.75,20.625,2.2110044956207275,123200,0.0,
1996-12-09 00:00:00+00:00,20.625,20.875,20.625,2.2243247032165527,61400,0.0,
1996-12-10 00:00:00+00:00,20.875,20.875,20.75,2.2110044956207275,78200,0.0,
1996-12-11 00:00:00+00:00,20.75,20.75,20.625,2.2110044956207275,57100,0.0,
1996-12-12 00:00:00+00:00,20.625,20.75,20.625,2.197686195373535,128500,0.0,
1996-12-13 00:00:00+00:00,20.625,20.75,20.625,2.197686195373535,96700,0.0,
1996-12-16 00:00:00+00:00,20.75,20.75,20.625,2.2110044956207275,64600,0.0,
1996-12-17 00:00:00+00:00,20.625,20.75,20.625,2.2110044956207275,77800,0.0,
1996-12-18 00:00:00+00:00,20.75,20.75,20.625,2.2110044956207275,45200,0.0,
1996-12-19 00:00:00+00:00,20.75,20.75,20.625,2.197686195373535,40700,0.0,
1996-12-20 00:00:00+00:00,20.75,20.75,20.625,2.197686195373535,38400,0.0,
1996-12-23 00:00:00+00:00,20.75,20.875,20.625,2.2110044956207275,66100,0.0,
1996-12-24 00:00:00+00:00,20.75,20.75,20.625,2.197686195373535,29300,0.0,
1996-12-26 00:00:00+00:00,20.625,20.75,20.625,2.197686195373535,31200,0.0,
1996-12-27 00:00:00+00:00,20.625,20.75,20.625,2.197686195373535,15400,0.0,
1996-12-30 00:00:00+00:00,20.625,20.75,20.625,2.2110044956207275,63200,0.0,
1996-12-31 00:00:00+00:00,20.75,20.75,20.25,2.18436598777771,46900,0.0,
