date,NSP_Open,NSP_High,NSP_Low,NSP_Close,NSP_Volume,NSP_Dividends,NSP_Stock Splits
1997-01-29 00:00:00+00:00,5.1875,5.75,5.1875,3.5016138553619385,9702000,0.0,
1997-01-30 00:00:00+00:00,5.53125,5.75,5.53125,3.6010921001434326,1916000,0.0,
1997-01-31 00:00:00+00:00,5.59375,5.625,5.375,3.461822509765625,554400,0.0,
1997-02-03 00:00:00+00:00,5.4375,5.5,5.4375,3.4817183017730717,298000,0.0,
1997-02-04 00:00:00+00:00,5.5625,5.5625,5.40625,3.461822509765625,162000,0.0,
1997-02-05 00:00:00+00:00,5.46875,5.53125,5.40625,3.4817183017730717,272400,0.0,
1997-02-06 00:00:00+00:00,5.5,5.71875,5.5,3.620986700057984,112400,0.0,
1997-02-07 00:00:00+00:00,5.75,5.9375,5.75,3.780150175094605,208400,0.0,
1997-02-10 00:00:00+00:00,5.9375,5.9375,5.59375,3.581196546554565,361600,0.0,
1997-02-11 00:00:00+00:00,5.5625,5.6875,5.5,3.581196546554565,176000,0.0,
1997-02-12 00:00:00+00:00,5.625,5.6875,5.5625,3.6010921001434326,45600,0.0,
1997-02-13 00:00:00+00:00,5.65625,5.71875,5.65625,3.620986700057984,172000,0.0,
1997-02-14 00:00:00+00:00,5.71875,5.84375,5.71875,3.660779476165772,213600,0.0,
1997-02-18 00:00:00+00:00,5.75,5.78125,5.71875,3.640882015228272,191200,0.0,
1997-02-19 00:00:00+00:00,5.75,5.78125,5.75,3.660779476165772,28800,0.0,
1997-02-20 00:00:00+00:00,5.75,5.8125,5.75,3.660779476165772,132800,0.0,
1997-02-21 00:00:00+00:00,5.75,5.78125,5.71875,3.660779476165772,95600,0.0,
1997-02-24 00:00:00+00:00,5.9375,6.15625,5.9375,3.879627704620361,281200,0.0,
1997-02-25 00:00:00+00:00,6.0625,6.375,6.03125,4.058688163757324,251600,0.0,
1997-02-26 00:00:00+00:00,6.4375,6.625,6.25,3.979107141494751,366800,0.0,
1997-02-27 00:00:00+00:00,6.25,6.28125,6.125,3.899524211883545,70400,0.0,
1997-02-28 00:00:00+00:00,6.125,6.125,5.96875,3.800046920776367,96000,0.0,
1997-03-03 00:00:00+00:00,5.96875,5.96875,5.78125,3.68067479133606,15200,0.0,
1997-03-04 00:00:00+00:00,5.75,5.75,5.5,3.5016138553619385,170800,0.0,
1997-03-05 00:00:00+00:00,5.46875,5.5,5.4375,3.5016138553619385,100400,0.0,
1997-03-06 00:00:00+00:00,5.5,5.5,5.375,3.4220316410064697,156000,0.0,
1997-03-07 00:00:00+00:00,5.4375,5.46875,5.375,3.441927671432495,54400,0.0,
1997-03-10 00:00:00+00:00,5.4375,5.53125,5.375,3.4220316410064697,252800,0.0,
1997-03-11 00:00:00+00:00,5.3125,5.3125,5.125,3.262867927551269,59600,0.0,
1997-03-12 00:00:00+00:00,5.09375,5.09375,4.9375,3.183286666870117,227600,0.0,
1997-03-13 00:00:00+00:00,4.96875,4.96875,4.90625,3.1235995292663574,278400,0.0,
1997-03-14 00:00:00+00:00,5.0,5.125,5.0,3.262867927551269,289600,0.0,
1997-03-17 00:00:00+00:00,5.15625,5.1875,5.15625,3.3026585578918457,7600,0.0,
1997-03-18 00:00:00+00:00,5.21875,5.375,5.1875,3.3822412490844727,39600,0.0,
1997-03-19 00:00:00+00:00,5.34375,5.34375,5.0625,3.223076820373535,296800,0.0,
1997-03-20 00:00:00+00:00,5.09375,5.09375,5.0625,3.223076820373535,108800,0.0,
1997-03-21 00:00:00+00:00,5.09375,5.09375,5.0,3.183286666870117,72400,0.0,
1997-03-24 00:00:00+00:00,4.9375,4.9375,4.59375,2.924643278121948,145600,0.0,
1997-03-25 00:00:00+00:00,4.53125,4.53125,4.125,2.7057933807373047,482800,0.0,
1997-03-26 00:00:00+00:00,4.3125,4.40625,4.21875,2.685898303985596,282800,0.0,
1997-03-27 00:00:00+00:00,4.25,4.25,4.15625,2.685898303985596,61200,0.0,
1997-03-31 00:00:00+00:00,4.25,4.25,4.15625,2.646105527877808,143200,0.0,
