date,MGIC_Open,MGIC_High,MGIC_Low,MGIC_Close,MGIC_Volume,MGIC_Dividends,MGIC_Stock Splits
1991-08-30 00:00:00+00:00,2.916666984558105,3.125,2.916666984558105,1.5361469984054563,723600,0.0,
1991-09-03 00:00:00+00:00,3.0833330154418945,3.0833330154418945,2.791666984558105,1.4115947484970093,506100,0.0,
1991-09-04 00:00:00+00:00,2.791666984558105,2.875,2.791666984558105,1.4115947484970093,398100,0.0,
1991-09-05 00:00:00+00:00,2.8333330154418945,2.8333330154418945,2.75,1.3908369541168213,453300,0.0,
1991-09-06 00:00:00+00:00,2.791666984558105,2.791666984558105,2.7083330154418945,1.3493186235427856,117300,0.0,
1991-09-09 00:00:00+00:00,2.791666984558105,2.791666984558105,2.666666984558105,1.3285598754882812,44700,0.0,
1991-09-10 00:00:00+00:00,2.666666984558105,2.75,2.666666984558105,1.3493186235427856,72000,0.0,
1991-09-11 00:00:00+00:00,2.666666984558105,2.7083330154418945,2.666666984558105,1.3493186235427856,240300,0.0,
1991-09-12 00:00:00+00:00,2.7083330154418945,2.791666984558105,2.666666984558105,1.3908369541168213,86400,0.0,
1991-09-13 00:00:00+00:00,2.791666984558105,2.875,2.75,1.4323537349700928,118800,0.0,
1991-09-16 00:00:00+00:00,2.916666984558105,3.0,2.791666984558105,1.4531123638153076,446100,0.0,
1991-09-17 00:00:00+00:00,2.916666984558105,3.0833330154418945,2.916666984558105,1.4531123638153076,141300,0.0,
1991-09-18 00:00:00+00:00,3.041666984558105,3.3333330154418945,2.9583330154418945,1.639941692352295,431700,0.0,
1991-09-19 00:00:00+00:00,3.2083330154418945,3.4583330154418945,3.0833330154418945,1.7229760885238647,1057500,0.0,
1991-09-20 00:00:00+00:00,3.541666984558105,3.6666669845581055,3.3333330154418945,1.6814584732055664,236400,0.0,
1991-09-23 00:00:00+00:00,3.541666984558105,3.541666984558105,3.25,1.6191818714141846,127800,0.0,
1991-09-24 00:00:00+00:00,3.291666984558105,3.416666984558105,3.25,1.6191818714141846,166800,0.0,
1991-09-25 00:00:00+00:00,3.416666984558105,3.416666984558105,3.166666984558105,1.660699486732483,61800,0.0,
1991-09-26 00:00:00+00:00,3.375,3.375,3.25,1.6191818714141846,48600,0.0,
1991-09-27 00:00:00+00:00,3.375,3.416666984558105,3.291666984558105,1.639941692352295,121200,0.0,
1991-09-30 00:00:00+00:00,3.2083330154418945,3.3333330154418945,3.2083330154418945,1.6191818714141846,51900,0.0,
1991-10-01 00:00:00+00:00,3.375,3.375,3.166666984558105,1.660699486732483,21300,0.0,
1991-10-02 00:00:00+00:00,3.375,3.416666984558105,3.291666984558105,1.7022175788879397,81600,0.0,
1991-10-03 00:00:00+00:00,3.375,3.4583330154418945,3.3333330154418945,1.660699486732483,119700,0.0,
1991-10-04 00:00:00+00:00,3.4583330154418945,3.4583330154418945,3.3333330154418945,1.7022175788879397,57900,0.0,
1991-10-07 00:00:00+00:00,3.5,3.541666984558105,3.291666984558105,1.660699486732483,71400,0.0,
