date,TSBK_Open,TSBK_High,TSBK_Low,TSBK_Close,TSBK_Volume,TSBK_Dividends,TSBK_Stock Splits
1998-01-13 00:00:00+00:00,7.75,7.75,7.25,3.7110707759857178,7028400,0.0,
1998-01-14 00:00:00+00:00,7.375,7.6875,7.3125,3.855033159255981,2162800,0.0,
1998-01-15 00:00:00+00:00,7.625,7.84375,7.5625,3.935014963150024,478400,0.0,
1998-01-16 00:00:00+00:00,7.75,8.125,7.625,4.14296293258667,692400,0.0,
1998-01-20 00:00:00+00:00,8.1875,8.1875,7.71875,4.094974994659424,391800,0.0,
1998-01-21 00:00:00+00:00,8.0,8.0,7.6875,3.967005968093872,275600,0.0,
1998-01-22 00:00:00+00:00,7.75,7.75,7.6875,3.967005968093872,295200,0.0,
1998-01-23 00:00:00+00:00,7.6875,7.78125,7.625,3.903022289276123,174400,0.0,
1998-01-26 00:00:00+00:00,7.75,7.75,7.5625,3.903022289276123,52200,0.0,
1998-01-27 00:00:00+00:00,7.5625,7.65625,7.5,3.855033159255981,426600,0.0,
1998-01-28 00:00:00+00:00,7.5,7.625,7.4375,3.903022289276123,224000,0.0,
1998-01-29 00:00:00+00:00,7.59375,7.6875,7.5625,3.903022289276123,108000,0.0,
1998-01-30 00:00:00+00:00,7.625,7.75,7.5625,3.967005968093872,122600,0.0,
1998-02-02 00:00:00+00:00,7.75,7.84375,7.6875,4.014994621276856,99800,0.0,
1998-02-03 00:00:00+00:00,7.8125,7.875,7.71875,3.998997926712036,75800,0.0,
1998-02-04 00:00:00+00:00,7.84375,7.84375,7.71875,3.998997926712036,155600,0.0,
1998-02-05 00:00:00+00:00,7.84375,7.84375,7.75,3.998997926712036,109800,0.0,
1998-02-06 00:00:00+00:00,7.8125,7.96875,7.78125,4.078978061676025,269800,0.0,
1998-02-09 00:00:00+00:00,7.96875,8.0,7.875,4.062982559204102,47800,0.0,
1998-02-10 00:00:00+00:00,8.0,8.0625,7.9375,4.078978061676025,293600,0.0,
1998-02-11 00:00:00+00:00,8.0,8.0625,8.0,4.126965999603272,147600,0.0,
1998-02-12 00:00:00+00:00,8.0625,8.125,7.9375,4.062982559204102,89000,0.0,
