date,HSON_Open,HSON_High,HSON_Low,HSON_Close,HSON_Volume,HSON_Dividends,HSON_Stock Splits
2003-03-18 00:00:00+00:00,42.25,44.0,39.79999923706055,42.22938919067383,101260,0.0,
2003-03-19 00:00:00+00:00,42.5,43.5,42.5,41.50957489013672,1980,0.0,
2003-03-20 00:00:00+00:00,42.5,44.0,42.5,42.22938919067383,13940,0.0,
2003-03-21 00:00:00+00:00,44.59999847412109,44.59999847412109,43.0,42.22938919067383,17480,0.0,
2003-03-24 00:00:00+00:00,43.59999847412109,43.59999847412109,42.5,41.26963424682617,14420,0.0,
2003-03-25 00:00:00+00:00,43.25,43.25,42.75,41.50957489013672,6740,0.0,
2003-03-26 00:00:00+00:00,42.900001525878906,44.25,42.5,42.46933364868164,1740,0.0,
2003-03-27 00:00:00+00:00,43.75,44.34999847412109,43.0,42.22938919067383,4180,0.0,
2003-03-28 00:00:00+00:00,43.29999923706055,44.45000076293945,43.25,42.46933364868164,37540,0.0,
2003-03-31 00:00:00+00:00,43.5,45.59999847412109,43.25,43.28512573242188,349740,0.0,
2003-04-01 00:00:00+00:00,45.0,69.0,45.0,62.624267578125,750600,0.0,
2003-04-02 00:00:00+00:00,64.75,73.25,64.75,65.40757751464844,236400,0.0,
2003-04-03 00:00:00+00:00,67.44999694824219,68.5,64.9000015258789,64.30384063720703,115360,0.0,
2003-04-04 00:00:00+00:00,66.75,68.0,60.75,59.649017333984375,154760,0.0,
2003-04-07 00:00:00+00:00,62.5,69.0,61.5,63.104148864746094,106780,0.0,
2003-04-08 00:00:00+00:00,64.0,66.8499984741211,63.25,61.18462753295898,74760,0.0,
2003-04-09 00:00:00+00:00,63.20000076293945,67.3499984741211,63.20000076293945,64.01591491699219,34260,0.0,
2003-04-10 00:00:00+00:00,65.0,73.19999694824219,64.5999984741211,66.7992172241211,61940,0.0,
2003-04-11 00:00:00+00:00,69.30000305175781,69.6500015258789,67.8499984741211,65.5515365600586,22580,0.0,
2003-04-14 00:00:00+00:00,67.80000305175781,73.75,67.5,70.54227447509766,41680,0.0,
2003-04-15 00:00:00+00:00,71.19999694824219,74.9000015258789,71.1500015258789,71.83795166015625,22020,0.0,
2003-04-16 00:00:00+00:00,74.94999694824219,77.75,73.8499984741211,71.45404052734375,31040,0.0,
2003-04-17 00:00:00+00:00,74.0,76.69999694824219,72.75,72.46179962158203,32500,0.0,
2003-04-21 00:00:00+00:00,74.5,76.75,74.5,72.65374755859375,55940,0.0,
2003-04-22 00:00:00+00:00,75.44999694824219,85.0,74.19999694824219,80.37981414794922,75120,0.0,
2003-04-23 00:00:00+00:00,82.55000305175781,89.0,82.55000305175781,80.7157211303711,59580,0.0,
2003-04-24 00:00:00+00:00,84.05000305175781,85.44999694824219,82.5,79.65998840332031,12840,0.0,
2003-04-25 00:00:00+00:00,81.75,83.75,81.5,78.79620361328125,8180,0.0,
2003-04-28 00:00:00+00:00,81.80000305175781,83.0,77.80000305175781,75.58100891113281,39040,0.0,
2003-04-29 00:00:00+00:00,77.5,79.6500015258789,76.19999694824219,73.13362121582031,25000,0.0,
2003-04-30 00:00:00+00:00,76.30000305175781,78.44999694824219,71.25,71.16612243652344,69200,0.0,
2003-05-01 00:00:00+00:00,73.0,77.0,73.0,72.41381072998047,56680,0.0,
