date,SAH_Open,SAH_High,SAH_Low,SAH_Close,SAH_Volume,SAH_Dividends,SAH_Stock Splits
1997-11-12 00:00:00+00:00,5.8125,5.8125,5.59375,4.2857866287231445,893200,0.0,
1997-11-13 00:00:00+00:00,5.78125,6.1875,5.78125,4.378451824188232,507600,0.0,
1997-11-14 00:00:00+00:00,5.875,6.03125,5.8125,4.424784660339356,500400,0.0,
1997-11-17 00:00:00+00:00,6.0,6.0,5.78125,4.2857866287231445,106600,0.0,
1997-11-18 00:00:00+00:00,5.8125,5.8125,5.5625,4.169953346252441,91600,0.0,
1997-11-19 00:00:00+00:00,5.65625,5.65625,5.0625,3.9846229553222656,281400,0.0,
1997-11-20 00:00:00+00:00,5.4375,5.53125,5.375,4.077288627624512,147000,0.0,
1997-11-21 00:00:00+00:00,5.5,5.5625,5.46875,4.077288627624512,61600,0.0,
1997-11-24 00:00:00+00:00,5.5,5.5625,5.4375,4.054121971130371,29200,0.0,
1997-11-25 00:00:00+00:00,5.5625,5.5625,5.125,3.7992911338806152,95400,0.0,
1997-11-26 00:00:00+00:00,5.03125,5.3125,4.78125,3.915121793746948,144400,0.0,
1997-11-28 00:00:00+00:00,5.21875,5.25,5.15625,3.8919577598571777,19800,0.0,
1997-12-01 00:00:00+00:00,5.21875,5.21875,5.15625,3.822456598281861,20200,0.0,
1997-12-02 00:00:00+00:00,5.15625,5.25,5.09375,3.776123762130737,55400,0.0,
1997-12-03 00:00:00+00:00,5.0625,5.125,5.0,3.7529587745666495,77400,0.0,
1997-12-04 00:00:00+00:00,5.125,5.4375,5.125,3.938289880752564,51200,0.0,
1997-12-05 00:00:00+00:00,5.28125,5.375,5.21875,3.915121793746948,60600,0.0,
1997-12-08 00:00:00+00:00,5.28125,5.71875,5.25,4.123623371124268,57400,0.0,
1997-12-09 00:00:00+00:00,5.3125,5.4375,5.3125,4.0077900886535645,39000,0.0,
1997-12-10 00:00:00+00:00,5.375,5.5,5.375,4.077288627624512,141600,0.0,
1997-12-11 00:00:00+00:00,5.5,5.5,5.34375,4.0077900886535645,140600,0.0,
1997-12-12 00:00:00+00:00,5.4375,5.46875,5.40625,4.030957221984863,61200,0.0,
1997-12-15 00:00:00+00:00,5.625,5.71875,5.375,4.030957221984863,129200,0.0,
1997-12-16 00:00:00+00:00,5.46875,5.46875,5.25,3.9846229553222656,58200,0.0,
1997-12-17 00:00:00+00:00,5.375,5.4375,5.34375,3.9846229553222656,53600,0.0,
1997-12-18 00:00:00+00:00,5.3125,5.3125,5.1875,3.84562349319458,27000,0.0,
1997-12-19 00:00:00+00:00,5.15625,5.1875,4.75,3.7529587745666495,173000,0.0,
1997-12-22 00:00:00+00:00,5.0625,5.09375,5.03125,3.729792356491089,23200,0.0,
