date,AKR_Open,AKR_High,AKR_Low,AKR_Close,AKR_Volume,AKR_Dividends,AKR_Stock Splits
1993-05-27 00:00:00+00:00,20.25,20.25,19.625,3.6957004070281982,2838900,0.0,
1993-05-28 00:00:00+00:00,19.625,19.875,19.5,3.719240665435791,603100,0.0,
1993-06-01 00:00:00+00:00,19.625,19.625,19.5,3.6721622943878174,455200,0.0,
1993-06-02 00:00:00+00:00,19.5,20.375,19.5,3.836936712265015,616400,0.0,
1993-06-03 00:00:00+00:00,20.25,20.25,19.75,3.719240665435791,216900,0.0,
1993-06-04 00:00:00+00:00,19.75,19.875,19.625,3.719240665435791,58600,0.0,
1993-06-07 00:00:00+00:00,19.75,19.75,19.5,3.6721622943878174,148400,0.0,
1993-06-08 00:00:00+00:00,19.5,19.625,19.5,3.6721622943878174,169800,0.0,
1993-06-09 00:00:00+00:00,19.5,19.75,19.5,3.6957004070281982,225800,0.0,
1993-06-10 00:00:00+00:00,19.75,19.75,19.5,3.6957004070281982,78000,0.0,
1993-06-11 00:00:00+00:00,19.625,19.625,19.5,3.6721622943878174,109400,0.0,
1993-06-14 00:00:00+00:00,19.5,19.625,19.5,3.6721622943878174,72600,0.0,
1993-06-15 00:00:00+00:00,19.5,19.625,19.5,3.6721622943878174,38600,0.0,
1993-06-16 00:00:00+00:00,19.5,19.625,19.5,3.6721622943878174,109700,0.0,
1993-06-17 00:00:00+00:00,19.625,19.625,19.5,3.6721622943878174,86600,0.0,
1993-06-18 00:00:00+00:00,19.625,19.625,19.5,3.6721622943878174,96100,0.0,
1993-06-21 00:00:00+00:00,19.625,19.625,19.5,3.6957004070281982,61400,0.0,
1993-06-22 00:00:00+00:00,19.5,19.625,19.5,3.6721622943878174,64700,0.0,
1993-06-23 00:00:00+00:00,19.5,19.625,19.5,3.6721622943878174,36900,0.0,
1993-06-24 00:00:00+00:00,19.625,19.75,19.5,3.6721622943878174,62900,0.0,
1993-06-25 00:00:00+00:00,19.5,19.625,19.5,3.6721622943878174,17900,0.0,
1993-06-28 00:00:00+00:00,19.5,20.125,19.5,3.76632022857666,61700,0.0,
1993-06-29 00:00:00+00:00,20.0,20.125,19.75,3.719240665435791,47600,0.0,
1993-06-30 00:00:00+00:00,19.875,20.125,19.75,3.789861679077149,99500,0.0,
1993-07-01 00:00:00+00:00,20.0,20.125,20.0,3.76632022857666,27400,0.0,
1993-07-02 00:00:00+00:00,20.125,20.125,20.0,3.789861679077149,46300,0.0,
1993-07-06 00:00:00+00:00,20.0,20.125,19.75,3.739681005477905,96600,0.11,
1993-07-07 00:00:00+00:00,19.625,19.75,19.625,3.716010332107544,11500,0.0,
1993-07-08 00:00:00+00:00,19.625,19.75,19.625,3.739681005477905,14100,0.0,
1993-07-09 00:00:00+00:00,19.75,19.875,19.5,3.692344903945923,41300,0.0,
1993-07-12 00:00:00+00:00,19.5,19.75,19.5,3.692344903945923,20900,0.0,
1993-07-13 00:00:00+00:00,19.625,19.75,19.625,3.739681005477905,8700,0.0,
1993-07-14 00:00:00+00:00,19.625,19.75,19.5,3.692344903945923,47600,0.0,
1993-07-15 00:00:00+00:00,19.5,19.875,19.5,3.692344903945923,102900,0.0,
1993-07-16 00:00:00+00:00,19.625,19.625,19.5,3.716010332107544,16300,0.0,
1993-07-19 00:00:00+00:00,19.625,19.625,19.5,3.716010332107544,193700,0.0,
1993-07-20 00:00:00+00:00,19.625,19.75,19.625,3.739681005477905,83100,0.0,
1993-07-21 00:00:00+00:00,19.875,19.875,19.625,3.716010332107544,32000,0.0,
1993-07-22 00:00:00+00:00,19.625,19.625,19.625,3.716010332107544,40700,0.0,
1993-07-23 00:00:00+00:00,19.625,19.75,19.625,3.716010332107544,33700,0.0,
1993-07-26 00:00:00+00:00,19.625,19.625,19.5,3.692344903945923,7400,0.0,
1993-07-27 00:00:00+00:00,19.5,19.625,19.5,3.692344903945923,150100,0.0,
1993-07-28 00:00:00+00:00,19.5,19.625,19.5,3.692344903945923,73000,0.0,
1993-07-29 00:00:00+00:00,19.5,19.625,19.5,3.716010332107544,183900,0.0,
1993-07-30 00:00:00+00:00,19.625,19.625,19.5,3.716010332107544,107300,0.0,
1993-08-02 00:00:00+00:00,19.625,19.625,19.5,3.692344903945923,7500,0.0,
1993-08-03 00:00:00+00:00,19.5,19.625,19.5,3.692344903945923,22700,0.0,
1993-08-04 00:00:00+00:00,19.5,19.625,19.5,3.716010332107544,37600,0.0,
1993-08-05 00:00:00+00:00,19.5,19.625,19.5,3.692344903945923,86200,0.0,
1993-08-06 00:00:00+00:00,19.5,19.5,19.5,3.692344903945923,128200,0.0,
1993-08-09 00:00:00+00:00,19.5,19.625,19.375,3.6686758995056152,660600,0.0,
1993-08-10 00:00:00+00:00,19.0,19.0,18.5,3.502995729446411,106700,0.0,
1993-08-11 00:00:00+00:00,18.5,19.0,18.5,3.597667694091797,109100,0.0,
1993-08-12 00:00:00+00:00,19.0,19.125,19.0,3.597667694091797,51700,0.0,
1993-08-13 00:00:00+00:00,18.875,18.875,18.5,3.574000597000122,33600,0.0,
1993-08-16 00:00:00+00:00,19.0,19.0,18.5,3.502995729446411,53300,0.0,
1993-08-17 00:00:00+00:00,18.625,18.75,18.25,3.502995729446411,32000,0.0,
1993-08-18 00:00:00+00:00,18.5,18.625,18.375,3.502995729446411,186200,0.0,
1993-08-19 00:00:00+00:00,18.375,18.375,18.25,3.47932243347168,32400,0.0,
1993-08-20 00:00:00+00:00,18.375,18.5,17.875,3.4319865703582764,123600,0.0,
1993-08-23 00:00:00+00:00,17.875,18.5,17.875,3.502995729446411,36200,0.0,
1993-08-24 00:00:00+00:00,18.75,19.0,18.625,3.574000597000122,29800,0.0,
1993-08-25 00:00:00+00:00,18.75,19.0,18.625,3.597667694091797,74500,0.0,
1993-08-26 00:00:00+00:00,19.125,19.125,18.875,3.574000597000122,21400,0.0,
1993-08-27 00:00:00+00:00,19.0,19.0,18.875,3.597667694091797,10000,0.0,
1993-08-30 00:00:00+00:00,19.0,19.0,18.875,3.574000597000122,8800,0.0,
1993-08-31 00:00:00+00:00,18.75,19.25,18.625,3.645005941390991,9200,0.0,
1993-09-01 00:00:00+00:00,19.125,19.375,19.125,3.6686758995056152,19600,0.0,
1993-09-02 00:00:00+00:00,19.125,19.25,19.0,3.645005941390991,18000,0.0,
1993-09-03 00:00:00+00:00,19.125,19.5,19.125,3.6686758995056152,13100,0.0,
1993-09-07 00:00:00+00:00,19.125,19.25,19.125,3.645005941390991,3500,0.0,
