date,PEGA_Open,PEGA_High,PEGA_Low,PEGA_Close,PEGA_Volume,PEGA_Dividends,PEGA_Stock Splits
1996-07-19 00:00:00+00:00,6.25,6.75,6.0,5.689939498901367,5494400,0.0,
1996-07-22 00:00:00+00:00,6.3125,6.3125,5.96875,5.517515659332275,1142400,0.0,
1996-07-23 00:00:00+00:00,6.0,6.125,5.25,4.827826499938965,1391800,0.0,
1996-07-24 00:00:00+00:00,5.125,5.125,5.0,4.597930908203125,201800,0.0,
1996-07-25 00:00:00+00:00,5.0625,5.75,5.0625,5.115196228027344,491400,0.0,
1996-07-26 00:00:00+00:00,5.875,6.125,5.75,5.517515659332275,324400,0.0,
1996-07-29 00:00:00+00:00,6.125,6.1875,6.0,5.632465839385986,164800,0.0,
1996-07-30 00:00:00+00:00,6.0,6.1875,6.0,5.517515659332275,90400,0.0,
1996-07-31 00:00:00+00:00,6.125,6.125,5.9375,5.574989795684815,267400,0.0,
1996-08-01 00:00:00+00:00,6.0625,6.0625,5.8125,5.574989795684815,161600,0.0,
1996-08-02 00:00:00+00:00,5.9375,6.625,5.9375,5.977307319641113,211000,0.0,
1996-08-05 00:00:00+00:00,6.375,6.4375,6.125,5.689939498901367,135800,0.0,
1996-08-06 00:00:00+00:00,6.125,6.375,6.125,5.862360954284668,212200,0.0,
1996-08-07 00:00:00+00:00,6.375,6.9375,6.3125,6.37962818145752,561400,0.0,
1996-08-08 00:00:00+00:00,7.125,9.1875,7.0,8.448699951171875,965400,0.0,
1996-08-09 00:00:00+00:00,9.0625,9.1875,8.625,7.931435585021973,579200,0.0,
1996-08-12 00:00:00+00:00,8.75,9.625,8.6875,8.851016998291016,365400,0.0,
1996-08-13 00:00:00+00:00,9.5625,9.625,8.8125,8.103849411010742,506000,0.0,
1996-08-14 00:00:00+00:00,8.9375,8.9375,8.75,8.16132926940918,92800,0.0,
1996-08-15 00:00:00+00:00,8.875,9.1875,8.75,8.448699951171875,89400,0.0,
1996-08-16 00:00:00+00:00,9.1875,9.1875,9.0625,8.333745956420898,23200,0.0,
1996-08-19 00:00:00+00:00,9.0,9.0625,8.75,8.046375274658203,29800,0.0,
1996-08-20 00:00:00+00:00,8.6875,8.6875,8.375,7.701533317565918,17800,0.0,
