date,EPR_Open,EPR_High,EPR_Low,EPR_Close,EPR_Volume,EPR_Dividends,EPR_Stock Splits
1997-11-18 00:00:00+00:00,19.5,19.75,19.5,2.9159088134765625,3531800,0.0,
1997-11-19 00:00:00+00:00,19.5,19.875,19.5,2.953291654586792,616400,0.0,
1997-11-20 00:00:00+00:00,19.75,19.75,19.0,2.878524780273437,280500,0.0,
1997-11-21 00:00:00+00:00,19.25,19.625,19.25,2.925253868103028,195600,0.0,
1997-11-24 00:00:00+00:00,19.375,19.4375,19.3125,2.887870073318481,87000,0.0,
1997-11-25 00:00:00+00:00,19.375,19.375,19.125,2.86917781829834,172600,0.0,
1997-11-26 00:00:00+00:00,19.25,19.5,19.125,2.8972153663635254,202200,0.0,
1997-11-28 00:00:00+00:00,19.25,19.375,19.125,2.878524780273437,277500,0.0,
1997-12-01 00:00:00+00:00,19.25,19.375,18.875,2.841141939163208,148000,0.0,
1997-12-02 00:00:00+00:00,19.25,19.25,19.125,2.878524780273437,74800,0.0,
1997-12-03 00:00:00+00:00,19.1875,19.375,19.1875,2.878524780273437,99800,0.0,
1997-12-04 00:00:00+00:00,19.25,19.3125,19.125,2.86917781829834,170800,0.0,
1997-12-05 00:00:00+00:00,19.0625,19.375,19.0625,2.8972153663635254,146200,0.0,
1997-12-08 00:00:00+00:00,19.25,19.5,19.25,2.9159088134765625,123100,0.0,
1997-12-09 00:00:00+00:00,19.5,19.625,19.375,2.9159088134765625,93500,0.0,
1997-12-10 00:00:00+00:00,19.5,19.625,19.4375,2.925253868103028,71000,0.0,
1997-12-11 00:00:00+00:00,19.5,19.5,19.3125,2.8972153663635254,118800,0.0,
1997-12-12 00:00:00+00:00,19.375,19.5,19.25,2.8972153663635254,107200,0.0,
1997-12-15 00:00:00+00:00,19.5,19.75,19.375,2.943944931030273,153300,0.0,
1997-12-16 00:00:00+00:00,19.5625,19.6875,19.5,2.9159088134765625,55600,0.0,
1997-12-17 00:00:00+00:00,19.375,19.5625,19.3125,2.906562566757202,101100,0.0,
1997-12-18 00:00:00+00:00,19.4375,19.5625,19.3125,2.8972153663635254,211400,0.0,
1997-12-19 00:00:00+00:00,19.375,19.5625,19.0,2.906562566757202,167100,0.0,
1997-12-22 00:00:00+00:00,19.4375,19.875,19.4375,2.925253868103028,96000,0.0,
1997-12-23 00:00:00+00:00,19.6875,19.875,19.0,2.8972153663635254,102900,0.0,
1997-12-24 00:00:00+00:00,19.25,19.375,19.125,2.8960835933685303,70700,0.18,
1997-12-26 00:00:00+00:00,19.25,19.25,19.0625,2.905517578125,76600,0.0,
1997-12-29 00:00:00+00:00,19.25,19.4375,19.25,2.9149506092071533,77000,0.0,
1997-12-30 00:00:00+00:00,19.3125,19.875,19.3125,2.9338176250457764,124400,0.0,
1997-12-31 00:00:00+00:00,19.4375,19.4375,19.25,2.924384593963623,126100,0.0,
1998-01-02 00:00:00+00:00,19.4375,19.625,19.375,2.962118625640869,14400,0.0,
1998-01-05 00:00:00+00:00,19.8125,20.0,19.625,2.999852180480957,267300,0.0,
1998-01-06 00:00:00+00:00,19.875,20.0625,19.75,2.999852180480957,151500,0.0,
1998-01-07 00:00:00+00:00,19.875,19.875,19.625,2.9809839725494385,120700,0.0,
1998-01-08 00:00:00+00:00,19.75,20.0,19.625,2.9809839725494385,185100,0.0,
1998-01-09 00:00:00+00:00,19.75,19.75,19.375,2.924384593963623,90000,0.0,
1998-01-12 00:00:00+00:00,19.0,19.5,19.0,2.905517578125,140100,0.0,
1998-01-13 00:00:00+00:00,19.3125,19.625,19.25,2.9526844024658203,80000,0.0,
1998-01-14 00:00:00+00:00,19.5,19.5,19.375,2.9432525634765625,99800,0.0,
1998-01-15 00:00:00+00:00,19.5,19.5,19.3125,2.9338176250457764,43100,0.0,
1998-01-16 00:00:00+00:00,19.5,19.5,19.25,2.924384593963623,108600,0.0,
1998-01-20 00:00:00+00:00,19.625,20.0,19.625,2.999852180480957,76100,0.0,
1998-01-21 00:00:00+00:00,20.0,20.0,19.625,2.999852180480957,31000,0.0,
1998-01-22 00:00:00+00:00,19.8125,19.875,19.5,2.971550703048706,57900,0.0,
1998-01-23 00:00:00+00:00,19.75,20.0,19.75,2.9809839725494385,42400,0.0,
1998-01-26 00:00:00+00:00,19.875,20.0,19.8125,2.999852180480957,40700,0.0,
1998-01-27 00:00:00+00:00,19.875,20.0,19.625,2.9809839725494385,95900,0.0,
1998-01-28 00:00:00+00:00,19.8125,20.0,19.5625,3.0092875957489014,80600,0.0,
1998-01-29 00:00:00+00:00,19.8125,20.0,19.75,3.018718242645264,76000,0.0,
1998-01-30 00:00:00+00:00,19.875,19.875,19.75,2.9809839725494385,46400,0.0,
1998-02-02 00:00:00+00:00,19.75,19.875,19.5,2.999852180480957,84700,0.0,
