date,AWRE_Open,AWRE_High,AWRE_Low,AWRE_Close,AWRE_Volume,AWRE_Dividends,AWRE_Stock Splits
1996-08-09 00:00:00+00:00,11.375,15.0,10.75,6.664572715759277,1494400,0.0,
1996-08-12 00:00:00+00:00,15.5,16.5,14.5,6.608092784881592,772300,0.0,
1996-08-13 00:00:00+00:00,15.25,15.25,14.25,6.551613807678223,153000,0.0,
1996-08-14 00:00:00+00:00,14.25,15.0,13.5,6.212737083435059,202300,0.0,
1996-08-15 00:00:00+00:00,13.25,13.625,13.0,6.099778175354004,220200,0.0,
1996-08-16 00:00:00+00:00,13.5,13.625,13.0,6.099778175354004,34900,0.0,
1996-08-19 00:00:00+00:00,13.125,13.75,13.0,5.873860359191895,77000,0.0,
1996-08-20 00:00:00+00:00,13.0,13.25,11.0,5.196107387542725,241600,0.0,
1996-08-21 00:00:00+00:00,11.0,11.25,10.5,4.800751686096191,417100,0.0,
1996-08-22 00:00:00+00:00,10.75,12.75,10.75,5.5349836349487305,118100,0.0,
1996-08-23 00:00:00+00:00,11.875,13.75,11.875,5.930339336395264,170800,0.0,
1996-08-26 00:00:00+00:00,13.75,14.625,12.75,6.438654899597168,153400,0.0,
1996-08-27 00:00:00+00:00,14.875,15.25,13.875,6.551613807678223,249700,0.0,
1996-08-28 00:00:00+00:00,14.0,14.75,14.0,6.325695991516113,26100,0.0,
1996-08-29 00:00:00+00:00,14.25,14.75,14.0,6.325695991516113,22100,0.0,
1996-08-30 00:00:00+00:00,15.0,15.5,14.25,6.777531623840332,59200,0.0,
1996-09-03 00:00:00+00:00,14.75,15.75,14.25,6.8904900550842285,115700,0.0,
1996-09-04 00:00:00+00:00,15.25,16.5,14.75,6.721051692962647,208700,0.0,
1996-09-05 00:00:00+00:00,14.75,15.25,14.375,6.777531623840332,83700,0.0,
1996-09-06 00:00:00+00:00,15.0,15.5,15.0,7.003448963165283,73000,0.0,
1996-09-09 00:00:00+00:00,15.5,15.5,14.5,6.777531623840332,64900,0.0,
1996-09-10 00:00:00+00:00,15.125,17.75,14.75,7.681202411651611,399600,0.0,
1996-09-11 00:00:00+00:00,17.25,17.25,16.25,7.455284595489502,129200,0.0,
1996-09-12 00:00:00+00:00,16.75,17.0,16.5,7.681202411651611,101100,0.0,
1996-09-13 00:00:00+00:00,16.5,17.25,16.25,7.455284595489502,73000,0.0,
1996-09-16 00:00:00+00:00,16.5,17.75,16.25,7.907120227813721,178100,0.0,
1996-09-17 00:00:00+00:00,18.0,18.125,16.75,7.794161319732666,234000,0.0,
1996-09-18 00:00:00+00:00,16.875,17.25,16.75,7.794161319732666,68700,0.0,
1996-09-19 00:00:00+00:00,16.8125,17.25,16.25,7.455284595489502,33800,0.0,
1996-09-20 00:00:00+00:00,16.5,17.0,16.0,7.455284595489502,47900,0.0,
1996-09-23 00:00:00+00:00,16.0,16.5,15.5,7.116407871246338,101300,0.0,
1996-09-24 00:00:00+00:00,15.75,17.5,15.5,7.568243503570557,159700,0.0,
1996-09-25 00:00:00+00:00,17.5,17.5,16.75,7.794161319732666,59800,0.0,
1996-09-26 00:00:00+00:00,17.5,19.0,17.25,8.358954429626465,221900,0.0,
1996-09-27 00:00:00+00:00,19.0,19.0,17.0,7.681202411651611,144300,0.0,
1996-09-30 00:00:00+00:00,17.0,17.5,16.75,7.624722480773926,61300,0.0,
1996-10-01 00:00:00+00:00,16.5,16.75,16.0,7.229366779327393,36500,0.0,
1996-10-02 00:00:00+00:00,16.25,17.5,16.0,7.681202411651611,92300,0.0,
1996-10-03 00:00:00+00:00,17.5,17.5,16.5,7.568243503570557,40700,0.0,
1996-10-04 00:00:00+00:00,17.25,17.25,16.25,7.455284595489502,58900,0.0,
1996-10-07 00:00:00+00:00,16.75,17.0,14.75,6.777531623840332,302600,0.0,
1996-10-08 00:00:00+00:00,15.0,16.0,15.0,7.003448963165283,201000,0.0,
1996-10-09 00:00:00+00:00,16.5,16.5,15.25,6.8904900550842285,60800,0.0,
1996-10-10 00:00:00+00:00,15.75,15.75,14.75,6.664572715759277,110600,0.0,
1996-10-11 00:00:00+00:00,15.25,15.25,14.75,6.8904900550842285,50800,0.0,
1996-10-14 00:00:00+00:00,15.25,15.25,14.25,6.495134353637695,62900,0.0,
1996-10-15 00:00:00+00:00,15.0,15.0,12.75,5.873860359191895,167000,0.0,
1996-10-16 00:00:00+00:00,13.5,13.75,11.75,5.704422473907471,229400,0.0,
1996-10-17 00:00:00+00:00,13.0,13.5,12.5,5.76090145111084,159300,0.0,
1996-10-18 00:00:00+00:00,12.75,12.75,11.9375,5.478504657745361,88700,0.0,
1996-10-21 00:00:00+00:00,12.75,12.75,11.25,5.083148956298828,88600,0.0,
1996-10-22 00:00:00+00:00,11.75,11.75,11.0,5.083148956298828,289700,0.0,
1996-10-23 00:00:00+00:00,11.5,12.25,11.25,5.450264930725098,266100,0.0,
1996-10-24 00:00:00+00:00,13.0,13.375,12.25,5.591463565826416,162800,0.0,
1996-10-25 00:00:00+00:00,12.625,12.625,11.75,5.309066295623779,69200,0.0,
1996-10-28 00:00:00+00:00,12.25,12.5,11.875,5.478504657745361,246000,0.0,
1996-10-29 00:00:00+00:00,12.375,12.375,12.0,5.422025203704834,50300,0.0,
1996-10-30 00:00:00+00:00,12.375,12.375,12.0,5.422025203704834,23200,0.0,
