date,RDN_Open,RDN_High,RDN_Low,RDN_Close,RDN_Volume,RDN_Dividends,RDN_Stock Splits
1992-10-30 00:00:00+00:00,4.5625,4.90625,4.5625,3.827480792999268,14513600,0.0,
1992-11-02 00:00:00+00:00,4.8125,5.0625,4.8125,4.028929233551025,3533600,0.0,
1992-11-03 00:00:00+00:00,4.9375,5.0,4.875,3.9533863067626953,1505200,0.0,
1992-11-04 00:00:00+00:00,4.90625,4.96875,4.875,3.9533863067626953,558000,0.0,
1992-11-05 00:00:00+00:00,4.90625,5.125,4.90625,4.129652976989746,804800,0.0,
1992-11-06 00:00:00+00:00,5.09375,5.125,5.03125,4.1044697761535645,435200,0.0,
1992-11-09 00:00:00+00:00,5.09375,5.1875,5.09375,4.180014610290527,592800,0.0,
1992-11-10 00:00:00+00:00,5.21875,5.3125,5.125,4.15483283996582,660400,0.0,
1992-11-11 00:00:00+00:00,5.1875,5.28125,5.1875,4.255554676055908,462800,0.0,
1992-11-12 00:00:00+00:00,5.28125,5.5625,5.25,4.457000732421875,1310400,0.0,
1992-11-13 00:00:00+00:00,5.5625,6.25,5.5625,4.834714412689209,1408000,0.0,
1992-11-16 00:00:00+00:00,5.96875,6.34375,5.71875,4.633271217346191,1239600,0.0,
1992-11-17 00:00:00+00:00,5.78125,6.0625,5.75,4.683629512786865,351200,0.0,
1992-11-18 00:00:00+00:00,5.78125,5.875,5.71875,4.708810806274414,370400,0.0,
1992-11-19 00:00:00+00:00,5.84375,5.84375,5.8125,4.683629512786865,75200,0.0,
1992-11-20 00:00:00+00:00,5.78125,6.0625,5.78125,4.809533596038818,521600,0.0,
1992-11-23 00:00:00+00:00,6.0,6.25,5.875,5.036158561706543,635200,0.0,
1992-11-24 00:00:00+00:00,6.21875,6.21875,6.1875,4.98579740524292,608000,0.0,
1992-11-25 00:00:00+00:00,6.1875,6.21875,6.125,4.93543815612793,123200,0.0,
1992-11-27 00:00:00+00:00,6.1875,6.21875,6.15625,4.98579740524292,200000,0.0,
1992-11-30 00:00:00+00:00,6.125,6.1875,6.125,4.98579740524292,495200,0.0,
1992-12-01 00:00:00+00:00,6.15625,6.1875,6.125,4.93543815612793,216400,0.0,
1992-12-02 00:00:00+00:00,6.0625,6.0625,5.8125,4.683629512786865,387200,0.0,
1992-12-03 00:00:00+00:00,5.8125,5.8125,5.625,4.633271217346191,425600,0.0,
1992-12-04 00:00:00+00:00,5.75,6.09375,5.75,4.809533596038818,477200,0.0,
1992-12-07 00:00:00+00:00,6.03125,6.1875,6.0,4.98579740524292,264000,0.0,
1992-12-08 00:00:00+00:00,6.21875,6.25,6.03125,4.885076999664307,341200,0.0,
1992-12-09 00:00:00+00:00,6.0,6.0,5.90625,4.7591729164123535,271200,0.0,
1992-12-10 00:00:00+00:00,5.9375,5.96875,5.8125,4.708810806274414,641200,0.0,
1992-12-11 00:00:00+00:00,5.8125,5.84375,5.8125,4.708810806274414,204400,0.0,
1992-12-14 00:00:00+00:00,5.84375,5.84375,5.6875,4.633271217346191,157200,0.0,
1992-12-15 00:00:00+00:00,5.78125,5.78125,5.625,4.532545566558838,159600,0.0,
1992-12-16 00:00:00+00:00,5.625,5.625,5.40625,4.431822776794434,390000,0.0,
1992-12-17 00:00:00+00:00,5.5625,5.875,5.5625,4.683629512786865,127200,0.0,
1992-12-18 00:00:00+00:00,5.875,5.96875,5.75,4.633271217346191,391200,0.0,
1992-12-21 00:00:00+00:00,5.6875,5.6875,5.4375,4.381457805633545,69600,0.0,
1992-12-22 00:00:00+00:00,5.5,6.03125,5.5,4.859897136688232,852800,0.0,
1992-12-23 00:00:00+00:00,6.09375,6.28125,6.0625,5.036158561706543,900400,0.0,
1992-12-24 00:00:00+00:00,6.1875,6.375,6.1875,5.036158561706543,283600,0.0,
1992-12-28 00:00:00+00:00,6.25,6.375,6.125,4.93543815612793,191200,0.0,
1992-12-29 00:00:00+00:00,6.125,6.3125,6.125,5.036158561706543,411200,0.0,
1992-12-30 00:00:00+00:00,6.28125,6.53125,6.25,5.187248229980469,337600,0.0,
1992-12-31 00:00:00+00:00,6.5,6.625,6.5,5.28796911239624,179600,0.0,
1993-01-04 00:00:00+00:00,6.5,6.5,6.3125,5.162065505981445,198000,0.0,
1993-01-05 00:00:00+00:00,6.4375,6.46875,6.3125,5.136886119842529,366000,0.0,
1993-01-06 00:00:00+00:00,6.3125,6.375,6.3125,5.136886119842529,818400,0.0,
1993-01-07 00:00:00+00:00,6.375,6.40625,6.0625,4.885076999664307,1440400,0.0,
1993-01-08 00:00:00+00:00,6.09375,6.09375,5.78125,4.7591729164123535,569600,0.0,
1993-01-11 00:00:00+00:00,5.875,6.3125,5.875,5.010981559753418,367200,0.0,
1993-01-12 00:00:00+00:00,6.21875,6.21875,6.0625,4.9102559089660645,94800,0.0,
1993-01-13 00:00:00+00:00,6.03125,6.3125,5.90625,5.036158561706543,439600,0.0,
1993-01-14 00:00:00+00:00,6.3125,6.5625,6.3125,5.237606525421143,298800,0.0,
1993-01-15 00:00:00+00:00,6.53125,6.90625,6.53125,5.489415645599365,523200,0.0,
1993-01-18 00:00:00+00:00,6.75,7.21875,6.75,5.6153178215026855,95200,0.0,
1993-01-19 00:00:00+00:00,6.96875,6.96875,6.78125,5.590137004852295,110000,0.0,
1993-01-20 00:00:00+00:00,6.9375,7.125,6.875,5.690860748291016,146000,0.0,
1993-01-21 00:00:00+00:00,7.125,7.28125,7.03125,5.766404628753662,280000,0.0,
1993-01-22 00:00:00+00:00,7.125,7.125,6.875,5.6153178215026855,271200,0.0,
