date,HUBG_Open,HUBG_High,HUBG_Low,HUBG_Close,HUBG_Volume,HUBG_Dividends,HUBG_Stock Splits
1996-03-13 00:00:00+00:00,1.9375,2.0,1.84375,1.9573298692703247,15514400,0.0,
1996-03-14 00:00:00+00:00,2.0,2.0,1.9375,1.9417954683303835,3128800,0.0,
1996-03-15 00:00:00+00:00,2.0,2.0,1.8125,1.848589301109314,3196000,0.0,
1996-03-18 00:00:00+00:00,1.90625,1.90625,1.828125,1.8175206184387207,2485600,0.0,
1996-03-19 00:00:00+00:00,1.828125,1.921875,1.828125,1.8951923847198489,1872000,0.0,
1996-03-20 00:00:00+00:00,1.921875,1.921875,1.875,1.8641237020492556,768800,0.0,
1996-03-21 00:00:00+00:00,1.875,1.890625,1.875,1.8641237020492556,428800,0.0,
1996-03-22 00:00:00+00:00,1.890625,1.96875,1.875,1.9573298692703247,358400,0.0,
1996-03-25 00:00:00+00:00,1.953125,2.09375,1.9375,2.0816047191619877,1065600,0.0,
1996-03-26 00:00:00+00:00,2.09375,2.375,2.0625,2.2835514545440674,1019200,0.0,
1996-03-27 00:00:00+00:00,2.265625,2.265625,2.171875,2.1592764854431152,685600,0.0,
1996-03-28 00:00:00+00:00,2.171875,2.203125,2.140625,2.190345525741577,607200,0.0,
1996-03-29 00:00:00+00:00,2.203125,2.25,2.171875,2.190345525741577,693600,0.0,
1996-04-01 00:00:00+00:00,2.203125,2.265625,2.203125,2.221414089202881,810400,0.0,
1996-04-02 00:00:00+00:00,2.21875,2.3125,2.21875,2.299085855484009,223200,0.0,
1996-04-03 00:00:00+00:00,2.28125,2.296875,2.25,2.236948251724243,186400,0.0,
1996-04-04 00:00:00+00:00,2.296875,2.296875,2.25,2.2835514545440674,175200,0.0,
1996-04-08 00:00:00+00:00,2.234375,2.28125,2.234375,2.268017292022705,42400,0.0,
1996-04-09 00:00:00+00:00,2.25,2.28125,2.25,2.268017292022705,144800,0.0,
1996-04-10 00:00:00+00:00,2.25,2.28125,2.25,2.236948251724243,155200,0.0,
1996-04-11 00:00:00+00:00,2.28125,2.28125,2.25,2.236948251724243,120800,0.0,
1996-04-12 00:00:00+00:00,2.28125,2.390625,2.25,2.3767576217651367,205600,0.0,
1996-04-15 00:00:00+00:00,2.390625,2.4375,2.328125,2.3767576217651367,635200,0.0,
1996-04-16 00:00:00+00:00,2.375,2.390625,2.328125,2.353456735610962,90400,0.0,
1996-04-17 00:00:00+00:00,2.421875,2.625,2.421875,2.578704357147217,2615200,0.0,
1996-04-18 00:00:00+00:00,2.59375,2.625,2.53125,2.578704357147217,557600,0.0,
1996-04-19 00:00:00+00:00,2.59375,2.59375,2.5625,2.578704357147217,132000,0.0,
1996-04-22 00:00:00+00:00,2.59375,2.640625,2.5625,2.625307559967041,689600,0.0,
1996-04-23 00:00:00+00:00,2.59375,2.640625,2.59375,2.578704357147217,280800,0.0,
1996-04-24 00:00:00+00:00,2.625,2.703125,2.578125,2.687445163726806,1412800,0.0,
