date,GEF_Open,GEF_High,GEF_Low,GEF_Close,GEF_Volume,GEF_Dividends,GEF_Stock Splits
1996-02-28 00:00:00+00:00,15.25,15.25,15.0,6.819669723510742,600,0.0,
1996-02-29 00:00:00+00:00,15.5,15.5,15.5,7.046990394592285,400,0.0,
1996-03-01 00:00:00+00:00,15.75,15.75,15.5,7.046990394592285,7200,0.0,
1996-03-04 00:00:00+00:00,15.5,15.75,15.5,7.046990394592285,2000,0.0,
1996-03-05 00:00:00+00:00,15.75,15.75,15.75,7.160653114318848,600,0.0,
1996-03-06 00:00:00+00:00,15.75,15.75,15.5,7.046990394592285,12000,0.0,
1996-03-07 00:00:00+00:00,15.4375,15.75,15.4375,7.160653114318848,3600,0.0,
1996-03-08 00:00:00+00:00,15.375,15.75,15.375,7.160653114318848,2800,0.0,
1996-03-11 00:00:00+00:00,15.375,15.5,15.125,7.046990394592285,16200,0.0,
1996-03-12 00:00:00+00:00,15.375,15.5,15.25,6.933327674865723,21000,0.0,
1996-03-13 00:00:00+00:00,15.25,15.375,15.0,6.990162372589111,2600,0.0,
1996-03-14 00:00:00+00:00,15.375,15.375,15.0,6.819669723510742,34000,0.0,
1996-03-15 00:00:00+00:00,15.125,15.25,15.125,6.933327674865723,1200,0.0,
1996-03-18 00:00:00+00:00,15.375,15.375,15.375,6.990162372589111,800,0.0,
1996-03-19 00:00:00+00:00,15.25,15.375,15.25,6.969598293304443,2600,0.08,
1996-03-20 00:00:00+00:00,15.375,15.375,15.375,7.026721477508545,400,0.0,
1996-03-21 00:00:00+00:00,15.375,15.375,15.0,6.855337619781494,3400,0.0,
1996-03-22 00:00:00+00:00,15.0,15.375,15.0,7.026721477508545,600,0.0,
1996-03-25 00:00:00+00:00,15.375,15.375,15.0,6.855337619781494,28200,0.0,
1996-03-26 00:00:00+00:00,15.125,15.25,15.0625,6.883903980255127,22200,0.0,
1996-03-27 00:00:00+00:00,15.125,15.25,14.875,6.798215389251709,29000,0.0,
1996-03-28 00:00:00+00:00,14.875,14.875,14.375,6.598264217376709,20800,0.0,
1996-03-29 00:00:00+00:00,14.625,14.625,14.375,6.626829147338867,4800,0.0,
1996-04-01 00:00:00+00:00,14.625,14.625,14.375,6.569698333740234,5400,0.0,
1996-04-02 00:00:00+00:00,14.25,14.5,14.125,6.512575149536133,36200,0.0,
1996-04-03 00:00:00+00:00,14.125,14.25,14.0,6.398317813873291,12800,0.0,
1996-04-04 00:00:00+00:00,14.25,14.25,14.25,6.512575149536133,4200,0.0,
1996-04-08 00:00:00+00:00,13.875,13.875,13.625,6.226931571960449,2600,0.0,
1996-04-09 00:00:00+00:00,13.875,13.875,13.5,6.341188907623291,3400,0.0,
1996-04-10 00:00:00+00:00,13.625,13.625,13.375,6.226931571960449,4000,0.0,
1996-04-11 00:00:00+00:00,13.625,13.625,13.625,6.226931571960449,600,0.0,
1996-04-12 00:00:00+00:00,13.625,13.625,13.375,6.134098529815674,20600,0.0,
1996-04-15 00:00:00+00:00,13.625,13.625,13.5,6.226931571960449,3000,0.0,
1996-04-16 00:00:00+00:00,13.625,13.625,13.375,6.226931571960449,5600,0.0,
1996-04-17 00:00:00+00:00,13.375,13.5,13.25,6.169806480407715,12000,0.0,
1996-04-18 00:00:00+00:00,13.3125,13.5,13.3125,6.169806480407715,11000,0.0,
1996-04-19 00:00:00+00:00,13.5,13.5,13.375,6.112680435180664,1800,0.0,
1996-04-22 00:00:00+00:00,13.25,13.3125,13.25,6.0555500984191895,6200,0.0,
1996-04-23 00:00:00+00:00,13.5,13.5,13.5,6.169806480407715,2600,0.0,
1996-04-24 00:00:00+00:00,13.5,13.5,13.125,5.998425960540772,4400,0.0,
1996-04-25 00:00:00+00:00,13.25,13.375,13.125,5.998425960540772,43800,0.0,
1996-04-26 00:00:00+00:00,13.375,13.375,13.125,6.112680435180664,2800,0.0,
1996-04-29 00:00:00+00:00,13.25,13.25,13.25,6.0555500984191895,400,0.0,
1996-04-30 00:00:00+00:00,13.25,13.25,13.25,6.0555500984191895,0,0.0,
1996-05-01 00:00:00+00:00,13.375,13.375,13.125,5.998425960540772,4000,0.0,
1996-05-02 00:00:00+00:00,13.375,13.375,13.375,6.112680435180664,3600,0.0,
1996-05-03 00:00:00+00:00,13.125,13.375,13.125,6.084114074707031,16800,0.0,
1996-05-06 00:00:00+00:00,13.3125,13.5,13.25,6.112680435180664,10400,0.0,
1996-05-07 00:00:00+00:00,13.6875,13.6875,13.5,6.169806480407715,2400,0.0,
1996-05-08 00:00:00+00:00,13.25,13.375,13.25,6.0555500984191895,5000,0.0,
1996-05-09 00:00:00+00:00,13.25,13.5,13.25,6.169806480407715,2600,0.0,
1996-05-10 00:00:00+00:00,13.5,13.5,13.3125,6.084114074707031,5800,0.0,
1996-05-13 00:00:00+00:00,13.3125,13.3125,13.3125,6.084114074707031,5800,0.0,
1996-05-14 00:00:00+00:00,13.25,13.5,13.125,6.169806480407715,80000,0.0,
