date,SSL_Open,SSL_High,SSL_Low,SSL_Close,SSL_Volume,SSL_Dividends,SSL_Stock Splits
1982-04-26 00:00:00+00:00,0.0,2.75,2.625,0.7618691921234131,2000,0.0,
1982-04-27 00:00:00+00:00,2.625,2.75,2.625,0.7618691921234131,2800,0.0,
1982-04-28 00:00:00+00:00,2.625,2.75,2.625,0.7618691921234131,5100,0.0,
1982-04-29 00:00:00+00:00,2.625,2.625,2.5,0.7255893349647522,3300,0.0,
1982-04-30 00:00:00+00:00,2.5,2.625,2.5,0.7255893349647522,5500,0.0,
1982-05-03 00:00:00+00:00,2.5,2.625,2.5,0.7255893349647522,8400,0.0,
1982-05-04 00:00:00+00:00,2.5,2.625,2.5,0.7255893349647522,700,0.0,
1982-05-05 00:00:00+00:00,2.5,2.5625,2.5,0.7255893349647522,18700,0.0,
1982-05-06 00:00:00+00:00,2.5,2.5,2.5,0.7255893349647522,0,0.0,
1982-05-07 00:00:00+00:00,2.5,2.5625,2.5,0.7255893349647522,2100,0.0,
1982-05-10 00:00:00+00:00,2.5,2.53125,2.4375,0.7074499130249023,1500,0.0,
1982-05-11 00:00:00+00:00,2.5625,2.625,2.5625,0.7437297105789185,10600,0.0,
1982-05-12 00:00:00+00:00,2.5625,2.6875,2.5625,0.7437297105789185,12200,0.0,
1982-05-13 00:00:00+00:00,2.5625,2.6875,2.5625,0.7437297105789185,800,0.0,
1982-05-14 00:00:00+00:00,2.5625,2.6875,2.5625,0.7437297105789185,4200,0.0,
1982-05-17 00:00:00+00:00,2.5625,2.625,2.5625,0.7437297105789185,7300,0.0,
1982-05-18 00:00:00+00:00,2.5625,2.625,2.5,0.7255893349647522,1500,0.0,
1982-05-19 00:00:00+00:00,2.5,2.625,2.5,0.7255893349647522,12300,0.0,
1982-05-20 00:00:00+00:00,2.5,2.625,2.5,0.7255893349647522,100,0.0,
1982-05-21 00:00:00+00:00,2.5,2.5,2.4375,0.7074499130249023,18000,0.0,
1982-05-24 00:00:00+00:00,2.375,2.375,2.25,0.6530306339263916,8500,0.0,
1982-05-25 00:00:00+00:00,2.25,2.375,2.25,0.6530306339263916,5500,0.0,
1982-05-26 00:00:00+00:00,2.25,2.3125,2.25,0.6530306339263916,7300,0.0,
1982-05-27 00:00:00+00:00,2.25,2.3125,2.25,0.6530306339263916,8500,0.0,
1982-05-28 00:00:00+00:00,2.25,2.375,2.25,0.6530306339263916,1200,0.0,
1982-06-01 00:00:00+00:00,2.25,2.3125,2.25,0.6530306339263916,10500,0.0,
1982-06-02 00:00:00+00:00,2.25,2.3125,2.25,0.6530306339263916,1000,0.0,
1982-06-03 00:00:00+00:00,2.25,2.3125,2.25,0.6530306339263916,7100,0.0,
1982-06-04 00:00:00+00:00,2.25,2.375,2.25,0.6530306339263916,1200,0.0,
1982-06-07 00:00:00+00:00,2.375,2.4375,2.375,0.6893100142478943,4100,0.0,
1982-06-08 00:00:00+00:00,2.375,2.5,2.375,0.6893100142478943,5000,0.0,
1982-06-09 00:00:00+00:00,2.375,2.5,2.375,0.6893100142478943,10100,0.0,
1982-06-10 00:00:00+00:00,2.375,2.5,2.375,0.6893100142478943,5200,0.0,
1982-06-11 00:00:00+00:00,2.40625,2.46875,2.40625,0.6983800530433655,1100,0.0,
1982-06-14 00:00:00+00:00,2.40625,2.46875,2.375,0.6893100142478943,1000,0.0,
1982-06-15 00:00:00+00:00,2.375,2.4375,2.3125,0.6711705327033997,400,0.0,
1982-06-16 00:00:00+00:00,2.3125,2.375,2.3125,0.6711705327033997,25100,0.0,
1982-06-17 00:00:00+00:00,2.28125,2.28125,2.1875,0.6348912119865417,17100,0.0,
1982-06-18 00:00:00+00:00,2.1875,2.28125,2.1875,0.6348912119865417,200,0.0,
1982-06-21 00:00:00+00:00,2.125,2.125,2.0,0.5804716348648071,19400,0.0,
1982-06-22 00:00:00+00:00,2.0,2.0,2.0,0.5804716348648071,0,0.0,
1982-06-23 00:00:00+00:00,2.125,2.1875,2.125,0.6167512536048889,3500,0.0,
