date,PRA_Open,PRA_High,PRA_Low,PRA_Close,PRA_Volume,PRA_Dividends,PRA_Stock Splits
1991-09-04 00:00:00+00:00,0.0,4.625,4.125,2.379587173461914,1214800,0.0,
1991-09-05 00:00:00+00:00,0.0,4.3125,4.125,2.379587173461914,666400,0.0,
1991-09-06 00:00:00+00:00,0.0,4.1875,4.0,2.3074791431427,496000,0.0,
1991-09-09 00:00:00+00:00,0.0,4.21875,4.0,2.3074791431427,47200,0.0,
1991-09-10 00:00:00+00:00,0.0,4.1875,4.0,2.4156410694122314,136400,0.0,
1991-09-11 00:00:00+00:00,0.0,4.1875,4.0,2.4156410694122314,25200,0.0,
1991-09-12 00:00:00+00:00,0.0,4.25,4.0625,2.4516961574554443,109600,0.0,
1991-09-13 00:00:00+00:00,4.25,4.25,4.25,2.4516961574554443,0,0.0,
1991-09-16 00:00:00+00:00,4.25,4.25,4.25,2.4516961574554443,0,0.0,
1991-09-17 00:00:00+00:00,0.0,4.3125,4.125,2.379587173461914,6000,0.0,
1991-09-18 00:00:00+00:00,0.0,4.3125,4.1875,2.4156410694122314,10000,0.0,
1991-09-19 00:00:00+00:00,0.0,4.125,4.125,2.379587173461914,800,0.0,
1991-09-20 00:00:00+00:00,0.0,4.125,4.125,2.379587173461914,3200,0.0,
1991-09-23 00:00:00+00:00,0.0,4.3125,4.125,2.4516961574554443,19200,0.0,
1991-09-24 00:00:00+00:00,0.0,4.28125,4.125,2.4156410694122314,159200,0.0,
1991-09-25 00:00:00+00:00,0.0,4.28125,4.125,2.469723701477051,170800,0.0,
1991-09-26 00:00:00+00:00,0.0,4.3125,4.0625,2.34353256225586,177200,0.0,
1991-09-27 00:00:00+00:00,0.0,4.25,4.15625,2.4516961574554443,60400,0.0,
1991-09-30 00:00:00+00:00,4.25,4.25,4.25,2.4516961574554443,0,0.0,
1991-10-01 00:00:00+00:00,0.0,4.21875,4.0625,2.34353256225586,128800,0.0,
1991-10-02 00:00:00+00:00,0.0,4.1875,4.0625,2.4156410694122314,35600,0.0,
1991-10-03 00:00:00+00:00,0.0,4.125,4.125,2.379587173461914,4000,0.0,
1991-10-04 00:00:00+00:00,0.0,4.125,4.125,2.379587173461914,10400,0.0,
1991-10-07 00:00:00+00:00,0.0,4.25,4.25,2.4516961574554443,2400,0.0,
1991-10-08 00:00:00+00:00,0.0,4.21875,4.125,2.4336695671081543,36800,0.0,
1991-10-09 00:00:00+00:00,0.0,4.25,4.0,2.361560106277466,440000,0.0,
1991-10-10 00:00:00+00:00,0.0,4.0625,4.0,2.3074791431427,42000,0.0,
1991-10-11 00:00:00+00:00,0.0,4.09375,4.0625,2.361560106277466,40000,0.0,
1991-10-14 00:00:00+00:00,0.0,4.1875,4.0625,2.4156410694122314,81200,0.0,
1991-10-15 00:00:00+00:00,4.1875,4.1875,4.1875,2.4156410694122314,0,0.0,
1991-10-16 00:00:00+00:00,0.0,4.125,4.0,2.34353256225586,240000,0.0,
1991-10-17 00:00:00+00:00,0.0,4.125,4.0,2.3255064487457275,300000,0.0,
1991-10-18 00:00:00+00:00,0.0,4.1875,4.1875,2.4156410694122314,400,0.0,
1991-10-21 00:00:00+00:00,0.0,4.1875,4.0,2.3074791431427,56800,0.0,
1991-10-22 00:00:00+00:00,0.0,4.125,4.0,2.3074791431427,42800,0.0,
