date,GPN_Open,GPN_High,GPN_Low,GPN_Close,GPN_Volume,GPN_Dividends,GPN_Stock Splits
2001-01-16 00:00:00+00:00,3.75,3.75,3.75,3.4936742782592773,3200,0.0,
2001-01-17 00:00:00+00:00,3.75,3.75,3.75,3.4936742782592773,122800,0.0,
2001-01-18 00:00:00+00:00,3.875,4.125,3.875,3.843040943145752,167200,0.0,
2001-01-19 00:00:00+00:00,4.1875,4.28125,4.1875,3.988613843917847,59600,0.0,
2001-01-22 00:00:00+00:00,4.25,4.625,4.25,4.250633716583252,146800,0.0,
2001-01-23 00:00:00+00:00,4.5,4.78125,4.5,4.367092132568359,76000,0.0,
2001-01-24 00:00:00+00:00,4.625,4.625,4.5625,4.250633716583252,560000,0.0,
2001-01-25 00:00:00+00:00,4.65625,4.6875,4.625,4.367092132568359,143200,0.0,
2001-01-26 00:00:00+00:00,4.625,4.640625,4.625,4.308865070343018,82000,0.0,
2001-01-29 00:00:00+00:00,4.630000114440918,4.6875,4.599999904632568,4.355445861816406,262000,0.0,
2001-01-30 00:00:00+00:00,4.675000190734863,4.675000190734863,4.587500095367432,4.332155227661133,339200,0.0,
2001-01-31 00:00:00+00:00,4.675000190734863,4.762499809265137,4.675000190734863,4.367092132568359,326000,0.0,
2001-02-01 00:00:00+00:00,4.75,5.300000190734863,4.690000057220459,4.867853164672852,2556800,0.0,
2001-02-02 00:00:00+00:00,5.1875,5.25,5.150000095367432,4.851548194885254,795600,0.0,
2001-02-05 00:00:00+00:00,5.212500095367432,5.362500190734863,4.980000019073486,4.651241779327393,644800,0.0,
2001-02-06 00:00:00+00:00,4.974999904632568,5.005000114440918,4.9375,4.600004196166992,1338800,0.0,
2001-02-07 00:00:00+00:00,4.925000190734863,5.0,4.912499904632568,4.65823221206665,1350400,0.0,
2001-02-08 00:00:00+00:00,5.0,5.039999961853027,4.875,4.541774272918701,578800,0.0,
2001-02-09 00:00:00+00:00,4.875,4.9375,4.875,4.600004196166992,441600,0.0,
2001-02-12 00:00:00+00:00,4.9375,4.9375,4.824999809265137,4.49519157409668,327200,0.0,
2001-02-13 00:00:00+00:00,4.824999809265137,4.885000228881836,4.8125,4.483547687530518,648800,0.0,
2001-02-14 00:00:00+00:00,4.8125,4.8125,4.767499923706055,4.44395112991333,135600,0.0,
2001-02-15 00:00:00+00:00,4.775000095367432,4.787499904632568,4.574999809265137,4.26228141784668,454400,0.0,
