date,SWX_Open,SWX_High,SWX_Low,SWX_Close,SWX_Volume,SWX_Dividends,SWX_Stock Splits
1973-02-21 00:00:00+00:00,0.0,13.5,13.5,3.006016492843628,1900,0.0,
1973-02-22 00:00:00+00:00,0.0,13.375,13.375,2.978182792663574,2200,0.0,
1973-02-23 00:00:00+00:00,0.0,13.25,13.25,2.950350046157837,3500,0.0,
1973-02-26 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,2200,0.0,
1973-02-27 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,2200,0.0,
1973-02-28 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,1900,0.0,
1973-03-01 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,500,0.0,
1973-03-02 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,1000,0.0,
1973-03-05 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,600,0.0,
1973-03-06 00:00:00+00:00,0.0,13.25,13.25,2.950350046157837,4300,0.0,
1973-03-07 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,5700,0.0,
1973-03-08 00:00:00+00:00,0.0,13.0,13.0,2.8946797847747803,4100,0.0,
1973-03-09 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,2900,0.0,
1973-03-12 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,3400,0.0,
1973-03-13 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,1800,0.0,
1973-03-14 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,2200,0.0,
1973-03-15 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,1700,0.0,
1973-03-16 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,2500,0.0,
1973-03-19 00:00:00+00:00,0.0,12.625,12.625,2.811180830001831,4200,0.0,
1973-03-20 00:00:00+00:00,0.0,12.625,12.625,2.811180830001831,5300,0.0,
1973-03-21 00:00:00+00:00,0.0,12.625,12.625,2.811180830001831,4500,0.0,
1973-03-22 00:00:00+00:00,0.0,12.5,12.5,2.7833473682403564,2000,0.0,
1973-03-23 00:00:00+00:00,0.0,12.75,12.75,2.8390166759490967,6500,0.0,
1973-03-26 00:00:00+00:00,0.0,12.875,12.875,2.8668487071990967,4000,0.0,
1973-03-27 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,5400,0.0,
1973-03-28 00:00:00+00:00,0.0,13.0,13.0,2.8946797847747803,1300,0.0,
1973-03-29 00:00:00+00:00,0.0,13.125,13.125,2.922515392303467,1900,0.0,
