date,CHH_Open,CHH_High,CHH_Low,CHH_Close,CHH_Volume,CHH_Dividends,CHH_Stock Splits
1996-10-16 00:00:00+00:00,7.0,8.25,7.0,3.848381280899048,39000,0.0,
1996-10-17 00:00:00+00:00,8.25,8.625,8.25,3.966792106628418,23600,0.0,
1996-10-18 00:00:00+00:00,8.75,8.75,8.625,4.085202693939209,79000,0.0,
1996-10-21 00:00:00+00:00,8.6875,8.6875,8.625,4.114809036254883,16800,0.0,
1996-10-22 00:00:00+00:00,8.625,8.625,8.1875,3.877985715866089,72400,0.0,
1996-10-23 00:00:00+00:00,7.875,8.0,7.75,3.729969024658203,27200,0.0,
1996-10-24 00:00:00+00:00,7.8125,7.8125,7.5,3.5819544792175293,79400,0.0,
1996-10-25 00:00:00+00:00,7.5,7.5625,7.5,3.5819544792175293,96400,0.0,
1996-10-28 00:00:00+00:00,7.5,7.625,7.5,3.611557722091675,48400,0.0,
1996-10-29 00:00:00+00:00,7.625,7.75,7.625,3.670763492584229,16000,0.0,
1996-10-30 00:00:00+00:00,7.875,7.875,7.75,3.670763492584229,28200,0.0,
1996-10-31 00:00:00+00:00,7.75,7.8125,7.5,3.611557722091675,361600,0.0,
1996-11-01 00:00:00+00:00,7.5625,7.625,7.1875,3.43394136428833,1305000,0.0,
1996-11-04 00:00:00+00:00,7.25,7.375,7.25,3.463542461395264,1030400,0.0,
1996-11-05 00:00:00+00:00,7.3125,7.625,7.3125,3.552353620529175,927400,0.0,
1996-11-06 00:00:00+00:00,7.5625,7.875,7.5,3.64116096496582,659800,0.0,
1996-11-07 00:00:00+00:00,7.6875,7.8125,7.625,3.670763492584229,1180800,0.0,
1996-11-08 00:00:00+00:00,7.8125,7.8125,7.6875,3.64116096496582,990800,0.0,
1996-11-11 00:00:00+00:00,7.625,8.0,7.625,3.7595736980438232,1018800,0.0,
1996-11-12 00:00:00+00:00,8.0,8.0,7.6875,3.670763492584229,211200,0.0,
1996-11-13 00:00:00+00:00,7.8125,7.8125,7.5,3.5819544792175293,952200,0.0,
1996-11-14 00:00:00+00:00,7.5625,7.5625,7.4375,3.552353620529175,891000,0.0,
1996-11-15 00:00:00+00:00,7.5625,7.75,7.5625,3.670763492584229,1254400,0.0,
1996-11-18 00:00:00+00:00,7.875,7.9375,7.625,3.611557722091675,547800,0.0,
1996-11-19 00:00:00+00:00,7.75,7.875,7.75,3.700366735458374,669000,0.0,
1996-11-20 00:00:00+00:00,7.8125,7.9375,7.8125,3.700366735458374,477000,0.0,
1996-11-21 00:00:00+00:00,7.875,7.9375,7.5,3.5819544792175293,279000,0.0,
1996-11-22 00:00:00+00:00,7.5625,7.75,7.375,3.522748708724976,709000,0.0,
1996-11-25 00:00:00+00:00,7.5625,7.5625,7.125,3.404337167739868,1209000,0.0,
1996-11-26 00:00:00+00:00,7.1875,7.1875,6.875,3.315528392791748,1263000,0.0,
1996-11-27 00:00:00+00:00,7.0625,7.625,7.0,3.5819544792175293,2561000,0.0,
1996-11-29 00:00:00+00:00,7.5,7.6875,7.5,3.64116096496582,309000,0.0,
1996-12-02 00:00:00+00:00,7.625,7.8125,7.5,3.670763492584229,679000,0.0,
1996-12-03 00:00:00+00:00,7.75,8.125,7.75,3.848381280899048,1158600,0.0,
1996-12-04 00:00:00+00:00,8.125,8.125,7.875,3.8187780380249023,474600,0.0,
1996-12-05 00:00:00+00:00,8.125,8.1875,8.0625,3.877985715866089,547600,0.0,
1996-12-06 00:00:00+00:00,7.9375,8.0625,7.875,3.8187780380249023,340200,0.0,
