date,SOXS_Open,SOXS_High,SOXS_Low,SOXS_Close,SOXS_Volume,SOXS_Dividends,SOXS_Stock Splits
2010-03-11 00:00:00+00:00,198912000.0,198912000.0,193344000.0,166167600.0,0,0.0,
2010-03-12 00:00:00+00:00,193248000.0,197424000.0,189888000.0,169591632.0,0,0.0,
2010-03-15 00:00:00+00:00,202944000.0,205584000.0,201456000.0,175738352.0,0,0.0,
2010-03-16 00:00:00+00:00,190800000.0,190800000.0,187824000.0,161423472.0,0,0.0,
2010-03-17 00:00:00+00:00,187824000.0,187824000.0,187824000.0,161423472.0,0,0.0,
2010-03-18 00:00:00+00:00,187824000.0,187824000.0,187824000.0,161423472.0,0,0.0,
2010-03-19 00:00:00+00:00,195696000.0,195936000.0,195696000.0,168395264.0,0,0.0,
2010-03-22 00:00:00+00:00,199440000.0,199440000.0,179856000.0,154575504.0,0,0.0,
2010-03-23 00:00:00+00:00,176736000.0,176736000.0,171072000.0,147191184.0,0,0.0,
2010-03-24 00:00:00+00:00,171024000.0,175728000.0,170928000.0,151027728.0,0,0.0,
2010-03-25 00:00:00+00:00,170880000.0,178272000.0,169200000.0,153007872.0,0,0.0,
2010-03-26 00:00:00+00:00,173232000.0,184704000.0,172416000.0,155978096.0,0,0.0,
2010-03-29 00:00:00+00:00,182400000.0,182400000.0,175104000.0,151027728.0,0,0.0,
2010-03-30 00:00:00+00:00,174864000.0,174864000.0,174864000.0,150285152.0,0,0.0,
2010-03-31 00:00:00+00:00,176976000.0,176976000.0,170016000.0,150615168.0,0,0.0,
2010-04-01 00:00:00+00:00,166320000.0,178368000.0,164256000.0,151357744.0,0,0.0,
2010-04-05 00:00:00+00:00,162000000.0,162000000.0,159072000.0,137001664.0,0,0.0,
2010-04-06 00:00:00+00:00,162576000.0,163824000.0,160128000.0,139229312.0,0,0.0,
2010-04-07 00:00:00+00:00,164304000.0,164832000.0,157920000.0,136547856.0,0,0.0,
