date,EDU_Open,EDU_High,EDU_Low,EDU_Close,EDU_Volume,EDU_Dividends,EDU_Stock Splits
2006-09-15 00:00:00+00:00,6.340000152587891,6.925000190734863,6.337500095367432,6.187170028686523,2122800,0.0,
2006-09-18 00:00:00+00:00,6.75,7.074999809265137,6.652500152587891,6.51527738571167,1936800,0.0,
2006-09-19 00:00:00+00:00,7.0625,7.077499866485596,6.625,6.222324371337891,1153200,0.0,
2006-09-20 00:00:00+00:00,6.75,6.894999980926514,6.625,6.386378288269043,774000,0.0,
2006-09-21 00:00:00+00:00,6.75,6.927499771118164,6.6875,6.28325891494751,621200,0.0,
2006-09-22 00:00:00+00:00,6.632500171661377,6.692500114440918,6.375,5.999680042266846,785600,0.0,
2006-09-25 00:00:00+00:00,6.40749979019165,6.442500114440918,5.949999809265137,5.6200127601623535,1322000,0.0,
2006-09-26 00:00:00+00:00,5.934999942779541,5.940000057220459,5.5,5.202847957611084,3485200,0.0,
2006-09-27 00:00:00+00:00,5.659999847412109,5.96999979019165,5.659999847412109,5.523923873901367,1211600,0.0,
2006-09-28 00:00:00+00:00,5.957499980926514,6.112500190734863,5.867499828338623,5.669229507446289,966800,0.0,
2006-09-29 00:00:00+00:00,6.087500095367432,6.087500095367432,5.75,5.671572685241699,979600,0.0,
2006-10-02 00:00:00+00:00,6.037499904632568,6.144999980926514,6.017499923706055,5.690321922302246,376800,0.0,
2006-10-03 00:00:00+00:00,6.050000190734863,6.050000190734863,5.994999885559082,5.624700546264648,427200,0.0,
2006-10-04 00:00:00+00:00,6.0,6.125,6.0,5.650480270385742,191600,0.0,
2006-10-05 00:00:00+00:00,6.125,6.202499866485596,6.125,5.74422550201416,374800,0.0,
2006-10-06 00:00:00+00:00,6.125,6.162499904632568,6.125,5.74422550201416,174000,0.0,
2006-10-09 00:00:00+00:00,6.127500057220459,6.15749979019165,6.0625,5.741881370544434,387200,0.0,
2006-10-10 00:00:00+00:00,6.162499904632568,6.707499980926514,6.137499809265137,6.234043121337891,1166400,0.0,
2006-10-11 00:00:00+00:00,6.5625,6.824999809265137,6.5,6.351224422454834,1558000,0.0,
2006-10-12 00:00:00+00:00,6.75,6.922500133514404,6.650000095367432,6.280915260314941,708800,0.0,
2006-10-13 00:00:00+00:00,6.75,6.822500228881836,6.677499771118164,6.276227951049805,791600,0.0,
2006-10-16 00:00:00+00:00,6.695000171661377,6.769999980926514,6.5,6.191857814788818,609600,0.0,
2006-10-17 00:00:00+00:00,6.875,7.099999904632568,6.25,6.06998872756958,1664800,0.0,
2006-10-18 00:00:00+00:00,6.494999885559082,6.552499771118164,6.402500152587891,6.053584098815918,569200,0.0,
2006-10-19 00:00:00+00:00,6.272500038146973,6.287499904632568,5.775000095367432,5.507518768310547,1390800,0.0,
2006-10-20 00:00:00+00:00,5.875,6.135000228881836,5.832499980926514,5.741881370544434,796400,0.0,
2006-10-23 00:00:00+00:00,6.125,6.135000228881836,5.962500095367432,5.591889381408691,384400,0.0,
2006-10-24 00:00:00+00:00,5.965000152587891,6.199999809265137,5.947500228881836,5.777036190032959,855600,0.0,
2006-10-25 00:00:00+00:00,6.190000057220459,6.237500190734863,6.002500057220459,5.830939292907715,1103600,0.0,
2006-10-26 00:00:00+00:00,6.232500076293945,6.28249979019165,6.170000076293945,5.8215651512146,501600,0.0,
2006-10-27 00:00:00+00:00,6.210000038146973,6.364999771118164,6.162499904632568,5.800472259521484,372800,0.0,
2006-10-30 00:00:00+00:00,6.21999979019165,6.25,6.070000171661377,5.819220542907715,177200,0.0,
2006-10-31 00:00:00+00:00,6.190000057220459,6.239999771118164,6.0,5.648136615753174,857200,0.0,
2006-11-01 00:00:00+00:00,6.25,6.372499942779541,6.21999979019165,5.856719017028809,1520800,0.0,
2006-11-02 00:00:00+00:00,6.25,6.367499828338623,6.25,5.934058666229248,175600,0.0,
2006-11-03 00:00:00+00:00,6.392499923706055,6.449999809265137,6.34499979019165,6.009055137634277,483200,0.0,
2006-11-06 00:00:00+00:00,6.445000171661377,6.462500095367432,6.380000114440918,5.990305423736572,111600,0.0,
