date,IAG_Open,IAG_High,IAG_Low,IAG_Close,IAG_Volume,IAG_Dividends,IAG_Stock Splits
2003-07-15 00:00:00+00:00,4.849999904632568,4.900000095367432,4.670000076293945,4.1388349533081055,234100,0.0,
2003-07-16 00:00:00+00:00,4.699999809265137,4.78000020980835,4.690000057220459,4.174210548400879,135000,0.0,
2003-07-17 00:00:00+00:00,4.730000019073486,4.800000190734863,4.639999866485596,4.227272033691406,84200,0.0,
2003-07-18 00:00:00+00:00,4.75,4.769999980926514,4.679999828338623,4.200740814208984,73700,0.0,
2003-07-21 00:00:00+00:00,4.760000228881836,4.920000076293945,4.760000228881836,4.315709114074707,237200,0.0,
2003-07-22 00:00:00+00:00,4.909999847412109,4.940000057220459,4.849999904632568,4.315709114074707,122500,0.0,
2003-07-23 00:00:00+00:00,4.889999866485596,5.289999961853027,4.889999866485596,4.616393089294434,555500,0.0,
2003-07-24 00:00:00+00:00,5.28000020980835,5.349999904632568,5.170000076293945,4.678299427032471,348700,0.0,
2003-07-25 00:00:00+00:00,5.349999904632568,5.420000076293945,5.25,4.651767730712891,774200,0.0,
2003-07-28 00:00:00+00:00,5.360000133514404,5.400000095367432,5.159999847412109,4.56333065032959,175700,0.0,
2003-07-29 00:00:00+00:00,5.170000076293945,5.239999771118164,5.010000228881836,4.46605110168457,145400,0.0,
2003-07-30 00:00:00+00:00,4.949999809265137,5.010000228881836,4.840000152587891,4.359927177429199,196000,0.0,
2003-07-31 00:00:00+00:00,5.03000020980835,5.039999961853027,4.860000133514404,4.386457443237305,205700,0.0,
2003-08-01 00:00:00+00:00,4.96999979019165,5.070000171661377,4.940000057220459,4.377614498138428,95200,0.0,
2003-08-04 00:00:00+00:00,5.0,5.210000038146973,5.0,4.607549667358398,75700,0.0,
2003-08-05 00:00:00+00:00,5.119999885559082,5.179999828338623,5.0,4.519113063812256,97000,0.0,
2003-08-06 00:00:00+00:00,5.139999866485596,5.179999828338623,5.050000190734863,4.536799907684326,189500,0.0,
2003-08-07 00:00:00+00:00,5.130000114440918,5.130000114440918,5.03000020980835,4.46605110168457,120500,0.0,
2003-08-08 00:00:00+00:00,5.110000133514404,5.340000152587891,5.050000190734863,4.616393089294434,479500,0.0,
2003-08-11 00:00:00+00:00,5.349999904632568,5.420000076293945,5.300000190734863,4.722517013549805,492900,0.0,
2003-08-12 00:00:00+00:00,5.329999923706055,5.340000152587891,5.230000019073486,4.625236511230469,229800,0.0,
2003-08-13 00:00:00+00:00,5.239999771118164,5.420000076293945,5.139999866485596,4.731361389160156,312900,0.0,
2003-08-14 00:00:00+00:00,5.420000076293945,5.570000171661377,5.300000190734863,4.740204334259033,620000,0.0,
2003-08-15 00:00:00+00:00,5.360000133514404,5.610000133514404,5.300000190734863,4.961296081542969,53800,0.0,
2003-08-18 00:00:00+00:00,5.519999980926514,5.539999961853027,5.260000228881836,4.75789213180542,362700,0.0,
2003-08-19 00:00:00+00:00,5.380000114440918,5.5,5.300000190734863,4.864015102386475,272000,0.0,
2003-08-20 00:00:00+00:00,5.53000020980835,5.71999979019165,5.519999980926514,5.0585761070251465,706500,0.0,
