date,WEN_Open,WEN_High,WEN_Low,WEN_Close,WEN_Volume,WEN_Dividends,WEN_Stock Splits
1980-05-06 00:00:00+00:00,0.0,2.25,2.125,0.4079945385456085,300,0.0,
1980-05-07 00:00:00+00:00,0.0,2.375,2.25,0.43199422955513,2000,0.0,
1980-05-08 00:00:00+00:00,0.0,2.375,2.25,0.4559939503669739,1700,0.0,
1980-05-09 00:00:00+00:00,0.0,2.375,2.25,0.4559939503669739,700,0.0,
1980-05-12 00:00:00+00:00,0.0,2.375,2.25,0.43199422955513,1800,0.0,
1980-05-13 00:00:00+00:00,0.0,2.375,2.25,0.4559939503669739,3800,0.0,
1980-05-14 00:00:00+00:00,0.0,2.5,2.375,0.4799936413764953,3300,0.0,
1980-05-15 00:00:00+00:00,0.0,2.5,2.375,0.4559939503669739,1900,0.0,
1980-05-16 00:00:00+00:00,0.0,2.5,2.5,0.4799936413764953,4500,0.0,
1980-05-19 00:00:00+00:00,0.0,2.5,2.375,0.4799936413764953,3100,0.0,
1980-05-20 00:00:00+00:00,0.0,2.75,2.5,0.4799936413764953,8500,0.0,
1980-05-21 00:00:00+00:00,0.0,2.625,2.5,0.5039933919906616,1600,0.0,
1980-05-22 00:00:00+00:00,0.0,2.625,2.625,0.5039933919906616,2900,0.0,
1980-05-23 00:00:00+00:00,0.0,2.625,2.625,0.5039933919906616,1400,0.0,
1980-05-27 00:00:00+00:00,0.0,2.75,2.625,0.5279929637908936,700,0.0,
1980-05-28 00:00:00+00:00,0.0,2.75,2.625,0.5039933919906616,3200,0.0,
1980-05-29 00:00:00+00:00,0.0,2.75,2.625,0.5039933919906616,2200,0.0,
1980-05-30 00:00:00+00:00,0.0,2.625,2.5,0.5039933919906616,4700,0.0,
1980-06-02 00:00:00+00:00,0.0,2.75,2.5,0.5279929637908936,7300,0.0,
1980-06-03 00:00:00+00:00,0.0,2.75,2.75,0.5279929637908936,400,0.0,
1980-06-04 00:00:00+00:00,0.0,2.875,2.625,0.5519925951957703,14100,0.0,
1980-06-05 00:00:00+00:00,0.0,3.0,2.875,0.5519925951957703,12500,0.0,
1980-06-06 00:00:00+00:00,0.0,2.875,2.75,0.5519925951957703,900,0.0,
1980-06-09 00:00:00+00:00,0.0,2.875,2.75,0.5519925951957703,3800,0.0,
1980-06-10 00:00:00+00:00,0.0,2.75,2.625,0.5039933919906616,3100,0.0,
1980-06-11 00:00:00+00:00,0.0,2.75,2.625,0.5279929637908936,2700,0.0,
