date,VTGN_Open,VTGN_High,VTGN_Low,VTGN_Close,VTGN_Volume,VTGN_Dividends,VTGN_Stock Splits
2011-06-21 00:00:00+00:00,1470.0,1470.0,1470.0,1470.0,2,,
2011-06-22 00:00:00+00:00,1470.0,1560.0,1470.0,1560.0,4,,
2011-06-23 00:00:00+00:00,1560.0,1560.0,1488.0,1488.0,6,,
2011-06-24 00:00:00+00:00,1488.0,1488.0,1488.0,1488.0,1,,
2011-06-27 00:00:00+00:00,1560.0,1560.0,1536.0,1536.0,4,,
2011-06-28 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,1,,
2011-06-29 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,3,,
2011-06-30 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,0,,
2011-07-01 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,0,,
2011-07-05 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-06 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-07 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-08 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-11 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-12 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-13 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-14 00:00:00+00:00,1554.0,1554.0,1554.0,1554.0,0,,
2011-07-15 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,3,,
2011-07-18 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,0,,
2011-07-19 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,0,,
2011-07-20 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,0,,
2011-07-21 00:00:00+00:00,1560.0,1560.0,1560.0,1560.0,7,,
2011-07-22 00:00:00+00:00,1200.0,1500.0,1200.0,1500.0,3,,
2011-07-25 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-07-26 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-07-27 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-07-28 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-07-29 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-08-01 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-08-02 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-08-03 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-08-04 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-08-05 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-08-08 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
2011-08-09 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0,,
