date,MTN_Open,MTN_High,MTN_Low,MTN_Close,MTN_Volume,MTN_Dividends,MTN_Stock Splits
1997-02-04 00:00:00+00:00,23.5,24.25,22.375,16.824909210205078,6573500,0.0,
1997-02-05 00:00:00+00:00,22.25,22.5,22.0,16.451026916503906,2471100,0.0,
1997-02-06 00:00:00+00:00,22.0,22.25,22.0,16.451026916503906,2351300,0.0,
1997-02-07 00:00:00+00:00,22.0,22.125,20.5,15.890192985534668,813300,0.0,
1997-02-10 00:00:00+00:00,21.25,21.25,19.75,15.0489501953125,373500,0.0,
1997-02-11 00:00:00+00:00,20.125,20.875,20.125,15.516312599182127,136500,0.0,
1997-02-12 00:00:00+00:00,21.0,21.0,20.25,15.23589324951172,126600,0.0,
1997-02-13 00:00:00+00:00,20.375,20.5,20.125,15.14242172241211,254800,0.0,
1997-02-14 00:00:00+00:00,20.125,20.125,19.125,14.488117218017578,372200,0.0,
1997-02-18 00:00:00+00:00,19.75,19.75,19.0,14.301172256469728,204400,0.0,
1997-02-19 00:00:00+00:00,19.125,19.25,18.625,14.207704544067385,489100,0.0,
1997-02-20 00:00:00+00:00,18.75,20.0,18.75,14.8620023727417,296200,0.0,
1997-02-21 00:00:00+00:00,20.0,20.0,19.375,14.675060272216797,161100,0.0,
1997-02-24 00:00:00+00:00,19.375,19.625,19.0,14.581592559814451,1415800,0.0,
1997-02-25 00:00:00+00:00,19.625,21.0,19.625,15.60977840423584,288300,0.0,
1997-02-26 00:00:00+00:00,20.75,21.875,20.625,16.357553482055664,147600,0.0,
1997-02-27 00:00:00+00:00,21.75,22.375,21.75,16.637968063354492,339100,0.0,
1997-02-28 00:00:00+00:00,22.25,22.375,21.875,16.357553482055664,135000,0.0,
1997-03-03 00:00:00+00:00,22.0,22.0,21.75,16.264080047607422,146300,0.0,
1997-03-04 00:00:00+00:00,21.75,21.75,21.375,15.98366641998291,63100,0.0,
1997-03-05 00:00:00+00:00,21.375,21.5,21.25,15.98366641998291,31100,0.0,
1997-03-06 00:00:00+00:00,21.375,21.5,20.875,15.703252792358398,129500,0.0,
1997-03-07 00:00:00+00:00,21.0,21.0,20.5,15.329364776611328,89200,0.0,
1997-03-10 00:00:00+00:00,20.5,20.875,20.25,15.60977840423584,76500,0.0,
1997-03-11 00:00:00+00:00,20.75,21.125,20.75,15.796719551086426,76600,0.0,
1997-03-12 00:00:00+00:00,21.0,21.125,20.625,15.516312599182127,77200,0.0,
1997-03-13 00:00:00+00:00,20.625,20.625,20.25,15.14242172241211,139000,0.0,
1997-03-14 00:00:00+00:00,20.25,20.75,20.25,15.329364776611328,65500,0.0,
1997-03-17 00:00:00+00:00,20.5,20.5,20.0,15.14242172241211,173500,0.0,
1997-03-18 00:00:00+00:00,20.25,20.5,20.25,15.329364776611328,89700,0.0,
1997-03-19 00:00:00+00:00,20.5,21.25,20.5,15.516312599182127,77500,0.0,
1997-03-20 00:00:00+00:00,20.625,20.625,20.5,15.329364776611328,38800,0.0,
1997-03-21 00:00:00+00:00,20.625,20.875,20.375,15.60977840423584,70100,0.0,
1997-03-24 00:00:00+00:00,20.75,20.875,20.75,15.516312599182127,26000,0.0,
1997-03-25 00:00:00+00:00,20.75,20.875,20.625,15.422832489013672,21100,0.0,
1997-03-26 00:00:00+00:00,20.75,20.75,20.25,15.23589324951172,58100,0.0,
1997-03-27 00:00:00+00:00,20.5,20.75,20.0,14.955472946166992,50800,0.0,
1997-03-31 00:00:00+00:00,20.0,20.0,19.25,14.581592559814451,199000,0.0,
1997-04-01 00:00:00+00:00,19.375,19.375,18.875,14.114229202270508,57000,0.0,
1997-04-02 00:00:00+00:00,18.875,18.875,18.125,13.740345001220703,92000,0.0,
1997-04-03 00:00:00+00:00,18.25,18.25,17.375,13.179511070251465,385700,0.0,
1997-04-04 00:00:00+00:00,17.625,19.0,17.5,14.020756721496582,46400,0.0,
1997-04-07 00:00:00+00:00,19.125,19.375,19.0,14.394646644592283,112100,0.0,
1997-04-08 00:00:00+00:00,19.5,19.75,19.25,14.768528938293455,30700,0.0,
1997-04-09 00:00:00+00:00,19.875,20.125,19.625,14.955472946166992,71600,0.0,
1997-04-10 00:00:00+00:00,19.875,20.25,19.875,14.955472946166992,9800,0.0,
1997-04-11 00:00:00+00:00,19.875,19.875,19.25,14.488117218017578,96700,0.0,
1997-04-14 00:00:00+00:00,19.25,19.25,19.0,14.301172256469728,45500,0.0,
1997-04-15 00:00:00+00:00,19.125,19.5,19.125,14.488117218017578,45400,0.0,
1997-04-16 00:00:00+00:00,19.5,19.5,19.25,14.394646644592283,95000,0.0,
1997-04-17 00:00:00+00:00,19.5,19.5,19.25,14.488117218017578,55100,0.0,
1997-04-18 00:00:00+00:00,19.375,19.375,18.75,14.394646644592283,132400,0.0,
1997-04-21 00:00:00+00:00,19.0,19.0,18.625,14.114229202270508,102300,0.0,
1997-04-22 00:00:00+00:00,18.75,18.75,18.375,13.833812713623049,32900,0.0,
1997-04-23 00:00:00+00:00,18.75,18.75,18.5,13.833812713623049,76400,0.0,
1997-04-24 00:00:00+00:00,18.5,18.5,18.25,13.833812713623049,62400,0.0,
1997-04-25 00:00:00+00:00,18.375,18.375,17.5,13.086042404174805,86700,0.0,
1997-04-28 00:00:00+00:00,17.75,18.5,17.75,13.833812713623049,52400,0.0,
1997-04-29 00:00:00+00:00,18.75,19.375,18.75,14.488117218017578,69900,0.0,
1997-04-30 00:00:00+00:00,19.125,20.375,19.125,15.23589324951172,126200,0.0,
1997-05-01 00:00:00+00:00,20.5,20.625,19.75,15.0489501953125,84700,0.0,
1997-05-02 00:00:00+00:00,20.125,20.25,19.75,15.0489501953125,115300,0.0,
1997-05-05 00:00:00+00:00,20.25,21.375,20.125,15.98366641998291,60400,0.0,
1997-05-06 00:00:00+00:00,21.375,21.875,21.0,16.077136993408203,105200,0.0,
1997-05-07 00:00:00+00:00,21.375,21.875,21.375,16.077136993408203,38300,0.0,
1997-05-08 00:00:00+00:00,21.5,21.75,21.25,16.264080047607422,86800,0.0,
1997-05-09 00:00:00+00:00,21.625,21.75,21.5,16.170604705810547,32300,0.0,
1997-05-12 00:00:00+00:00,21.5,21.5,21.125,15.98366641998291,86800,0.0,
1997-05-13 00:00:00+00:00,21.25,21.375,21.0,15.98366641998291,84600,0.0,
1997-05-14 00:00:00+00:00,21.375,21.5,20.75,16.077136993408203,155200,0.0,
1997-05-15 00:00:00+00:00,21.375,21.375,21.0,15.796719551086426,95100,0.0,
1997-05-16 00:00:00+00:00,20.875,21.25,20.875,15.890192985534668,55400,0.0,
1997-05-19 00:00:00+00:00,21.25,21.75,21.25,16.077136993408203,53500,0.0,
1997-05-20 00:00:00+00:00,21.5,21.875,21.375,16.357553482055664,31800,0.0,
1997-05-21 00:00:00+00:00,21.875,21.875,21.5,16.264080047607422,44900,0.0,
1997-05-22 00:00:00+00:00,21.625,22.25,21.625,16.637968063354492,52300,0.0,
1997-05-23 00:00:00+00:00,22.0,22.875,22.0,17.105327606201172,40600,0.0,
1997-05-27 00:00:00+00:00,22.875,23.25,22.25,17.385744094848633,19400,0.0,
1997-05-28 00:00:00+00:00,23.25,23.625,23.0,17.57268714904785,62500,0.0,
1997-05-29 00:00:00+00:00,23.5,23.5,23.0,17.57268714904785,60300,0.0,
1997-05-30 00:00:00+00:00,23.5,23.875,23.375,17.853105545043945,37200,0.0,
1997-06-02 00:00:00+00:00,23.875,23.875,23.125,17.292272567749023,38300,0.0,
1997-06-03 00:00:00+00:00,23.0,23.375,23.0,17.47920799255371,32300,0.0,
1997-06-04 00:00:00+00:00,23.125,24.0,23.0,17.94657325744629,143200,0.0,
1997-06-05 00:00:00+00:00,24.0,24.0,23.625,17.666152954101562,20000,0.0,
1997-06-06 00:00:00+00:00,23.625,24.375,23.625,18.226985931396484,41300,0.0,
1997-06-09 00:00:00+00:00,24.25,24.25,23.75,17.94657325744629,40100,0.0,
1997-06-10 00:00:00+00:00,24.0,24.25,23.875,18.04004669189453,128200,0.0,
1997-06-11 00:00:00+00:00,24.0,24.125,23.75,17.94657325744629,17600,0.0,
1997-06-12 00:00:00+00:00,23.875,24.0,23.625,17.94657325744629,46800,0.0,
1997-06-13 00:00:00+00:00,23.875,24.875,23.875,18.60087203979492,73300,0.0,
1997-06-16 00:00:00+00:00,24.875,24.875,24.5,18.32046127319336,28300,0.0,
1997-06-17 00:00:00+00:00,24.625,24.625,24.375,18.226985931396484,41600,0.0,
