date,TNC_Open,TNC_High,TNC_Low,TNC_Close,TNC_Volume,TNC_Dividends,TNC_Stock Splits
1973-02-22 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,800,0.0,
1973-02-23 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,800,0.0,
1973-02-26 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,800,0.0,
1973-02-27 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,0,0.0,
1973-02-28 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,0,0.0,
1973-03-01 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,4000,0.0,
1973-03-02 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,0,0.0,
1973-03-05 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,800,0.0,
1973-03-06 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,4800,0.0,
1973-03-07 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,800,0.0,
1973-03-08 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,23200,0.0,
1973-03-09 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,0,0.0,
1973-03-12 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,0,0.0,
1973-03-13 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,4800,0.0,
1973-03-14 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,2400,0.0,
1973-03-15 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,1600,0.0,
1973-03-16 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,8000,0.0,
1973-03-19 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,0,0.0,
1973-03-20 00:00:00+00:00,4.375,4.375,4.375,1.989668607711792,0,0.0,
1973-03-21 00:00:00+00:00,4.25,4.25,4.25,1.9328207969665527,6400,0.0,
1973-03-22 00:00:00+00:00,4.0625,4.0625,4.0625,1.847549319267273,6400,0.0,
1973-03-23 00:00:00+00:00,4.0625,4.0625,4.0625,1.847549319267273,0,0.0,
1973-03-26 00:00:00+00:00,4.125,4.125,4.125,1.8759737014770508,4000,0.0,
1973-03-27 00:00:00+00:00,4.125,4.125,4.125,1.8759737014770508,0,0.0,
1973-03-28 00:00:00+00:00,4.1875,4.1875,4.1875,1.904398322105408,1600,0.0,
