date,MITT-PA_Open,MITT-PA_High,MITT-PA_Low,MITT-PA_Close,MITT-PA_Volume,MITT-PA_Dividends,MITT-PA_Stock Splits
2012-08-07 00:00:00+00:00,25.26000022888184,25.5,25.149999618530277,8.856586456298828,199873,0.0,
2012-08-08 00:00:00+00:00,25.3799991607666,25.40999984741211,25.270000457763672,8.87057113647461,81075,0.0,
2012-08-09 00:00:00+00:00,25.440000534057617,25.729999542236328,25.32999992370605,8.968472480773926,107417,0.0,
2012-08-10 00:00:00+00:00,25.71999931335449,25.979999542236328,25.600000381469727,9.055888175964355,66338,0.0,
2012-08-13 00:00:00+00:00,25.88999938964844,25.989999771118164,25.6200008392334,9.003435134887695,44735,0.0,
2012-08-14 00:00:00+00:00,25.84000015258789,25.84000015258789,25.65999984741211,8.97546672821045,39065,0.0,
2012-08-15 00:00:00+00:00,25.649999618530277,25.799999237060547,25.540000915527344,8.950990676879883,39745,0.0,
2012-08-16 00:00:00+00:00,25.65999984741211,25.700000762939453,25.5,8.950990676879883,30315,0.0,
2012-08-17 00:00:00+00:00,25.59749984741211,25.600000381469727,25.420000076293945,8.916023254394531,19195,0.0,
2012-08-20 00:00:00+00:00,25.459999084472656,25.5,25.3799991607666,8.888052940368652,34195,0.0,
2012-08-21 00:00:00+00:00,25.399999618530277,25.459999084472656,25.299999237060547,8.87057113647461,35500,0.0,
2012-08-22 00:00:00+00:00,25.399999618530277,25.549999237060547,25.399999618530277,8.898542404174805,5795,0.0,
2012-08-23 00:00:00+00:00,25.530000686645508,25.600000381469727,25.51000022888184,8.937005996704102,18726,0.0,
2012-08-24 00:00:00+00:00,25.530000686645508,25.56999969482422,25.5,8.919522285461426,17250,0.0,
2012-08-27 00:00:00+00:00,25.57999992370605,25.739999771118164,25.57999992370605,8.982458114624023,32029,0.0,
2012-08-28 00:00:00+00:00,25.739999771118164,25.739999771118164,25.51000022888184,8.943994522094727,18530,0.0,
2012-08-29 00:00:00+00:00,25.399999618530277,25.540000915527344,25.399999618530277,9.00971508026123,16019,0.2521,
2012-08-30 00:00:00+00:00,25.51000022888184,25.649999618530277,25.46999931335449,9.042906761169434,13515,0.0,
